"Date","Price","Open","High","Low","Vol.","Change %"
"05/27/2026","271.70","275.67","276.80","268.80","10.31K","-0.84%"
"05/26/2026","274.00","270.40","275.25","267.15","11.87K","0.61%"
"05/22/2026","272.35","273.85","274.80","270.70","8.18K","-0.38%"
"05/21/2026","273.40","268.80","274.30","266.50","12.68K","1.90%"
"05/20/2026","268.30","270.00","272.00","264.20","13.83K","-0.68%"
"05/19/2026","270.15","266.40","270.95","262.85","15.13K","-2.19%"
"05/18/2026","276.20","280.00","280.00","279.15","0.00K","-2.95%"
"05/15/2026","284.60","286.65","291.65","286.65","0.02K","-3.35%"
"05/14/2026","294.45","294.45","294.45","294.45","12.53K","-0.61%"
"05/13/2026","296.25","296.00","300.00","296.00","0.04K","0.49%"
"05/12/2026","294.80","295.50","297.35","295.50","0.02K","4.43%"
"05/11/2026","282.30","275.70","282.70","268.00","19.33K","2.73%"
"05/08/2026","274.80","273.20","278.45","272.35","17.05K","0.57%"
"05/07/2026","273.25","283.60","284.20","271.35","25.29K","-3.73%"
"05/06/2026","283.85","290.00","293.25","283.10","17.20K","-2.04%"
"05/05/2026","289.75","286.00","297.20","286.00","19.59K","1.49%"
"05/04/2026","285.50","287.10","291.15","284.85","12.78K","-0.31%"
"05/01/2026","286.40","285.70","290.70","281.30","12.99K","0.30%"
"04/30/2026","285.55","290.40","291.40","284.05","13.01K","-1.77%"
"04/29/2026","290.70","291.75","293.40","288.05","10.15K","0.00%"
"04/28/2026","290.70","289.65","294.60","288.75","10.18K","0.76%"
"04/27/2026","288.50","292.00","294.90","287.05","13.50K","-2.17%"
