"Date","Price","Open","High","Low","Vol.","Change %"
"04/02/2026","1,163.50","1,166.38","1,174.00","1,162.00","79.80K","-0.43%"
"04/01/2026","1,168.50","1,171.50","1,174.75","1,153.00","112.70K","-0.21%"
"03/31/2026","1,171.00","1,159.00","1,177.75","1,156.00","125.89K","0.97%"
"03/30/2026","1,159.75","1,165.00","1,170.00","1,158.25","82.48K","0.04%"
"03/27/2026","1,159.25","1,172.00","1,178.75","1,155.75","115.72K","-1.24%"
"03/26/2026","1,173.75","1,173.00","1,179.75","1,167.00","101.88K","0.17%"
"03/25/2026","1,171.75","1,153.50","1,176.75","1,151.50","120.50K","1.45%"
"03/24/2026","1,155.00","1,164.25","1,166.75","1,153.75","110.64K","-0.73%"
"03/23/2026","1,163.50","1,160.00","1,171.50","1,152.50","106.43K","0.19%"
"03/20/2026","1,161.25","1,166.00","1,176.00","1,159.50","97.25K","-0.62%"
"03/19/2026","1,168.50","1,165.00","1,173.50","1,157.00","126.12K","0.58%"
"03/18/2026","1,161.75","1,156.25","1,165.25","1,148.00","127.55K","0.41%"
"03/17/2026","1,157.00","1,147.00","1,170.50","1,145.25","226.25K","0.15%"
"03/16/2026","1,155.25","1,214.00","1,214.00","1,155.25","246.83K","-4.60%"
"03/13/2026","1,211.00","1,200.25","1,200.25","1,200.25","0.01K","-0.16%"
"03/12/2026","1,213.00","1,215.75","1,223.25","1,214.00","0.07K","1.04%"
"03/11/2026","1,200.50","1,202.75","1,211.75","1,200.50","0.15K","1.12%"
"03/10/2026","1,187.25","1,180.00","1,191.25","1,174.75","0.11K","0.57%"
"03/09/2026","1,180.50","1,195.50","1,214.75","1,178.75","0.13K","-1.69%"
"03/06/2026","1,200.75","1,179.00","1,202.75","1,177.00","205.96K","1.82%"
"03/05/2026","1,179.25","1,168.25","1,181.00","1,166.50","140.91K","0.83%"
"03/04/2026","1,169.50","1,171.00","1,175.75","1,165.00","101.76K","-0.09%"
"03/03/2026","1,170.50","1,162.50","1,183.00","1,160.50","167.85K","0.56%"
"03/02/2026","1,164.00","1,178.50","1,185.00","1,157.50","141.81K","-0.58%"
"02/27/2026","1,170.75","1,162.75","1,175.00","1,160.50","116.40K","0.62%"
"02/26/2026","1,163.50","1,164.50","1,172.75","1,145.75","183.98K","-0.13%"
"02/25/2026","1,165.00","1,155.00","1,166.00","1,148.25","154.27K","0.84%"
"02/24/2026","1,155.25","1,150.00","1,157.75","1,143.50","157.33K","0.48%"
"02/23/2026","1,149.75","1,149.50","1,165.00","1,143.00","169.44K","-0.30%"
"02/20/2026","1,153.25","1,155.00","1,163.00","1,136.50","185.54K","-0.24%"
