"Date","Price","Open","High","Low","Vol.","Change %"
"04/02/2026","5.185","5.185","5.185","5.185","","0.00%"
"04/01/2026","5.185","5.185","5.185","5.185","","-0.58%"
"03/31/2026","5.215","5.215","5.215","5.215","","-1.42%"
"03/30/2026","5.290","5.290","5.290","5.290","","0.47%"
"03/27/2026","5.265","5.265","5.265","5.265","","0.19%"
"03/26/2026","5.255","5.255","5.255","5.255","","0.00%"
"03/25/2026","5.255","5.255","5.255","5.255","","-0.47%"
"03/24/2026","5.280","5.280","5.280","5.280","","0.38%"
"03/23/2026","5.260","5.260","5.260","5.260","","-1.59%"
"03/20/2026","5.345","5.345","5.345","5.345","","1.91%"
"03/19/2026","5.245","5.245","5.245","5.245","","0.00%"
"03/18/2026","5.245","5.245","5.245","5.245","","0.38%"
"03/17/2026","5.225","5.225","5.225","5.225","","-0.57%"
"03/16/2026","5.255","5.255","5.255","5.255","","-1.59%"
"03/13/2026","5.340","5.340","5.340","5.340","","1.42%"
"03/12/2026","5.265","5.265","5.265","5.265","","1.54%"
"03/11/2026","5.185","5.185","5.185","5.185","","-0.19%"
"03/10/2026","5.195","5.195","5.195","5.195","","-0.19%"
"03/09/2026","5.205","5.205","5.205","5.205","","-1.70%"
"03/06/2026","5.295","5.295","5.295","5.295","","-0.38%"
"03/05/2026","5.315","5.315","5.315","5.315","","1.33%"
"03/04/2026","5.245","5.245","5.245","5.245","","-1.41%"
"03/03/2026","5.320","5.320","5.320","5.320","","1.82%"
"03/02/2026","5.225","5.225","5.225","5.225","","1.16%"
"02/27/2026","5.165","5.165","5.165","5.165","","0.00%"
"02/26/2026","5.165","5.165","5.165","5.165","","0.29%"
"02/25/2026","5.150","5.150","5.150","5.150","","-0.48%"
"02/24/2026","5.175","5.175","5.175","5.175","","-0.38%"
"02/23/2026","5.195","5.195","5.195","5.195","","-0.19%"
"02/20/2026","5.205","5.205","5.205","5.205","","-0.95%"
"02/19/2026","5.255","5.255","5.255","5.255","","-0.28%"
"02/18/2026","5.270","5.270","5.270","5.270","","0.29%"
"02/16/2026","5.255","5.100","5.255","5.255","","0.00%"
"02/13/2026","5.255","5.255","5.255","5.255","","0.48%"
"02/12/2026","5.230","5.230","5.230","5.230","","0.48%"
"02/11/2026","5.205","5.205","5.205","5.205","","-0.38%"
"02/10/2026","5.225","5.225","5.225","5.225","","0.19%"
"02/09/2026","5.215","5.215","5.215","5.215","","-0.57%"
"02/06/2026","5.245","5.245","5.245","5.245","","-0.57%"
"02/05/2026","5.275","5.275","5.275","5.275","","-0.19%"
"02/04/2026","5.285","5.285","5.285","5.285","","0.38%"
"02/03/2026","5.265","5.265","5.265","5.265","","-0.47%"
"02/02/2026","5.290","5.290","5.290","5.290","","0.28%"
"01/30/2026","5.275","5.275","5.275","5.275","","1.15%"
"01/29/2026","5.215","5.215","5.215","5.215","","-0.38%"
"01/28/2026","5.235","5.235","5.235","5.235","","-0.10%"
"01/27/2026","5.240","5.240","5.240","5.240","","-1.13%"
"01/26/2026","5.300","5.300","5.300","5.300","","-0.28%"
"01/23/2026","5.315","5.315","5.315","5.315","","0.09%"
"01/22/2026","5.310","5.310","5.310","5.310","","-0.75%"
"01/21/2026","5.350","5.350","5.350","5.350","","-1.02%"
"01/20/2026","5.405","5.405","5.405","5.405","","0.46%"
"01/19/2026","5.380","5.380","5.380","5.380","","-0.55%"
"01/16/2026","5.410","5.410","5.410","5.410","","-0.37%"
"01/15/2026","5.430","5.430","5.430","5.430","","0.18%"
"01/14/2026","5.420","5.420","5.420","5.420","","0.28%"
"01/13/2026","5.405","5.405","5.405","5.405","","0.09%"
"01/12/2026","5.400","5.400","5.400","5.400","","0.19%"
"01/09/2026","5.390","5.390","5.390","5.390","","-0.46%"
"01/08/2026","5.415","5.415","5.415","5.415","","0.00%"
"01/07/2026","5.415","5.415","5.415","5.415","","0.19%"
"01/06/2026","5.405","5.405","5.405","5.405","","-0.83%"
"01/05/2026","5.450","5.450","5.450","5.450","","0.00%"
"01/02/2026","5.450","5.450","5.450","5.450","","-1.36%"
"12/30/2025","5.525","5.525","5.525","5.525","","-1.52%"
"12/29/2025","5.610","5.610","5.610","5.610","","0.63%"
"12/26/2025","5.575","5.575","5.575","5.575","","0.36%"
"12/23/2025","5.555","5.555","5.555","5.555","","-0.89%"
"12/22/2025","5.605","5.605","5.605","5.605","","0.90%"
"12/19/2025","5.555","5.555","5.555","5.555","","0.18%"
"12/18/2025","5.545","5.545","5.545","5.545","","0.00%"
"12/17/2025","5.545","5.545","5.545","5.545","","2.21%"
"12/16/2025","5.425","5.425","5.425","5.425","","0.00%"
"12/15/2025","5.425","5.425","5.425","5.425","","0.00%"
"12/12/2025","5.425","5.425","5.425","5.425","","0.00%"
"12/11/2025","5.425","5.425","5.425","5.425","","-1.27%"
"12/10/2025","5.495","5.495","5.495","5.495","","0.55%"
"12/09/2025","5.465","5.465","5.465","5.465","","0.18%"
"12/08/2025","5.455","5.455","5.455","5.455","","0.83%"
"12/05/2025","5.410","5.410","5.410","5.410","","1.50%"
"12/04/2025","5.330","5.330","5.330","5.330","","-0.19%"
"12/03/2025","5.340","5.340","5.340","5.340","","-0.37%"
"12/02/2025","5.360","5.360","5.360","5.360","","-0.37%"
"12/01/2025","5.380","5.380","5.380","5.380","","0.47%"
"11/28/2025","5.355","5.355","5.355","5.355","","-0.46%"
"11/27/2025","5.380","5.380","5.380","5.380","","0.19%"
"11/26/2025","5.370","5.370","5.370","5.370","","-0.56%"
"11/25/2025","5.400","5.400","5.400","5.400","","-0.46%"
"11/24/2025","5.425","5.425","5.425","5.425","","0.00%"
"11/21/2025","5.425","5.425","5.425","5.425","","1.02%"
"11/20/2025","5.370","5.210","5.370","5.370","","0.19%"
"11/19/2025","5.360","5.360","5.360","5.360","","0.19%"
"11/18/2025","5.350","5.350","5.350","5.350","","0.00%"
"11/17/2025","5.350","5.350","5.350","5.350","","0.47%"
"11/14/2025","5.325","5.325","5.325","5.325","","0.09%"
"11/13/2025","5.320","5.320","5.320","5.320","","0.00%"
"11/12/2025","5.320","5.320","5.320","5.320","","0.38%"
"11/11/2025","5.300","5.300","5.300","5.300","","-0.56%"
"11/10/2025","5.330","5.330","5.330","5.330","","-0.56%"
"11/07/2025","5.360","5.360","5.360","5.360","","-0.28%"
"11/06/2025","5.375","5.375","5.375","5.375","","-0.28%"
"11/05/2025","5.390","5.390","5.390","5.390","","-0.65%"
"11/04/2025","5.425","5.425","5.425","5.425","","0.84%"
"11/03/2025","5.380","5.380","5.380","5.380","","-0.55%"
"10/31/2025","5.410","5.410","5.410","5.410","","0.09%"
"10/30/2025","5.405","5.405","5.405","5.405","","0.28%"
"10/29/2025","5.390","5.390","5.390","5.390","","0.00%"
"10/28/2025","5.390","5.390","5.390","5.390","","-0.19%"
"10/27/2025","5.400","5.400","5.400","5.400","","-0.37%"
"10/24/2025","5.420","5.420","5.420","5.420","","0.18%"
"10/23/2025","5.410","5.410","5.410","5.410","","-0.28%"
"10/22/2025","5.425","5.425","5.425","5.425","","0.18%"
"10/21/2025","5.415","5.415","5.415","5.415","","0.28%"
"10/20/2025","5.400","5.400","5.400","5.400","","-0.64%"
"10/17/2025","5.435","5.435","5.435","5.435","","-0.73%"
"10/16/2025","5.475","5.475","5.475","5.475","","-0.36%"
"10/15/2025","5.495","5.495","5.495","5.495","","0.00%"
"10/14/2025","5.495","5.495","5.495","5.495","","0.27%"
"10/13/2025","5.480","5.480","5.480","5.480","","-0.81%"
"10/10/2025","5.525","5.525","5.525","5.525","","2.31%"
"10/09/2025","5.400","5.400","5.400","5.400","","0.56%"
"10/08/2025","5.370","5.370","5.370","5.370","","-0.09%"
"10/07/2025","5.375","5.375","5.375","5.375","","0.66%"
"10/06/2025","5.340","5.340","5.340","5.340","","-0.37%"
"10/03/2025","5.360","5.360","5.360","5.360","","-0.09%"
"10/02/2025","5.365","5.365","5.365","5.365","","0.28%"
"10/01/2025","5.350","5.350","5.350","5.350","","0.00%"
"09/30/2025","5.350","5.350","5.350","5.350","","0.19%"
"09/29/2025","5.340","5.340","5.340","5.340","","-0.56%"
"09/26/2025","5.370","5.370","5.370","5.370","","-0.37%"
"09/25/2025","5.390","5.390","5.390","5.390","","0.65%"
"09/24/2025","5.355","5.355","5.355","5.355","","0.85%"
"09/23/2025","5.310","5.310","5.310","5.310","","-1.12%"
"09/22/2025","5.370","5.370","5.370","5.370","","0.37%"
"09/19/2025","5.350","5.350","5.350","5.350","","0.19%"
"09/18/2025","5.340","5.340","5.340","5.340","","0.28%"
"09/17/2025","5.325","5.325","5.325","5.325","","0.09%"
"09/16/2025","5.320","5.320","5.320","5.320","","-0.37%"
"09/15/2025","5.340","5.340","5.340","5.340","","-0.74%"
"09/12/2025","5.380","5.380","5.380","5.380","","-0.74%"
"09/11/2025","5.420","5.420","5.420","5.420","","-0.28%"
"09/10/2025","5.435","5.435","5.435","5.435","","-0.46%"
"09/09/2025","5.460","5.460","5.460","5.460","","0.28%"
"09/08/2025","5.445","5.445","5.445","5.445","","0.00%"
"09/05/2025","5.445","5.445","5.445","5.445","","-0.55%"
"09/04/2025","5.475","5.475","5.475","5.475","","-0.18%"
"09/03/2025","5.485","5.485","5.485","5.485","","-0.36%"
"09/02/2025","5.505","5.505","5.505","5.505","","0.64%"
