Date,Price,Open,High,Low,Vol.,Change %,log_price,log_return,pct_return
2007-08-24,849.0,840.25,850.50,838.50,9.68K,0.83%,6.744059186311348,,
2007-08-27,856.5,845.00,857.25,837.25,12.30K,0.88%,6.752854317764174,0.00879513145282651,0.008833922261484162
2007-08-28,855.25,850.00,860.00,848.25,13.66K,-0.15%,6.751393823857714,-0.0014604939064604139,-0.0014594279042615677
2007-08-29,858.5,853.00,862.00,848.75,15.93K,0.38%,6.7551866803375304,0.003792856479816642,0.0038000584624378053
2007-08-30,870.5,859.00,878.00,856.00,20.64K,1.40%,6.7690677592082436,0.013881078870713104,0.013977868375072866
2007-08-31,868.0,870.00,880.50,867.00,15.16K,-0.29%,6.7661917146603505,-0.0028760445478930308,-0.0028719126938541173
2007-09-04,892.5,875.25,899.25,875.25,10.62K,2.82%,6.794026513653794,0.02783479899344332,0.02822580645161299
2007-09-05,889.0,892.75,901.00,885.00,9.25K,-0.39%,6.790097235513905,-0.003929278139889192,-0.0039215686274509665
2007-09-06,878.0,885.50,887.50,874.75,5.56K,-1.24%,6.777646593635117,-0.01245064187878775,-0.01237345331833517
2007-09-07,891.0,879.50,892.75,872.50,4.79K,1.48%,6.792344427470809,0.014697833835692009,0.01480637813211838
2007-09-10,903.5,895.00,904.00,890.75,3.46K,1.40%,6.806276110032283,0.013931682561474368,0.014029180695847465
2007-09-11,905.0,900.00,906.00,899.75,1.97K,0.17%,6.807934943699926,0.001658833667642412,0.0016602102933038765
2007-09-12,925.0,906.25,940.00,906.00,1.01K,2.21%,6.829793737512425,0.021858793812499222,0.022099447513812098
2007-09-13,928.0,926.75,932.00,921.00,0.35K,0.32%,6.833031732786201,0.0032379952737757733,0.00324324324324321
2007-09-14,941.0,931.25,944.00,930.00,0.11K,1.40%,6.846943139585379,0.013911406799178572,0.014008620689655249
2007-09-17,968.5,963.00,974.75,960.00,87.19K,2.92%,6.875748482847051,0.028805343261671723,0.02922422954303938
2007-09-18,969.5,966.00,977.75,960.25,77.50K,0.10%,6.876780474682707,0.0010319918356556101,0.0010325245224573898
2007-09-19,971.0,971.25,977.00,952.75,90.45K,0.15%,6.878326468291325,0.0015459936086186232,0.0015471892728209369
2007-09-20,988.5,969.00,996.75,967.50,83.47K,1.80%,6.896188642610672,0.017862174319346558,0.018022657054582947
2007-09-21,979.0,990.00,993.00,978.00,74.49K,-0.96%,6.88653164253051,-0.00965700008016146,-0.00961052099140114
2007-09-24,978.75,977.50,987.00,971.00,71.74K,-0.03%,6.8862762473050125,-0.0002553952254977787,-0.00025536261491321266
2007-09-25,973.0,975.75,982.75,970.00,64.23K,-0.59%,6.880384082186005,-0.005892165119007586,-0.005874840357598998
2007-09-26,990.75,971.00,992.25,970.50,78.49K,1.82%,6.898462232070544,0.018078149884539485,0.0182425488180884
2007-09-27,1009.0,991.50,"1,017.75",991.00,97.75K,1.84%,6.9167150203536085,0.018252788283064092,0.018420388594499126
2007-09-28,991.25,"1,007.50","1,012.00",985.50,93.51K,-1.76%,6.898966772949057,-0.017748247404551165,-0.017591674925668932
2007-10-01,991.5,991.50,999.25,985.50,66.09K,0.03%,6.8992189479598505,0.0002521750107931098,0.00025220680958382147
2007-10-02,943.75,991.25,994.00,941.50,137.24K,-4.82%,6.8498613005632345,-0.04935764739661597,-0.04815935451336362
2007-10-03,951.0,944.50,957.50,931.00,108.93K,0.77%,6.85751406254539,0.007652761982155809,0.007682119205298044
2007-10-04,954.25,951.25,958.50,946.00,67.88K,0.34%,6.860925691625339,0.0034116290799488524,0.0034174553101997684
2007-10-05,940.5,954.50,958.00,937.25,110.28K,-1.44%,6.846411648741085,-0.014514042884254508,-0.014409221902017322
2007-10-08,925.5,937.00,939.25,922.75,107.38K,-1.59%,6.830334132013552,-0.01607751672753288,-0.01594896331738438
2007-10-09,950.25,923.00,952.75,922.00,109.72K,2.67%,6.856725107869358,0.026390975855806076,0.02674230145867096
2007-10-10,968.25,952.50,970.00,951.50,101.78K,1.89%,6.875490318394862,0.01876521052550384,0.018942383583267608
2007-10-11,981.5,969.50,984.25,963.00,99.96K,1.37%,6.889082013716516,0.013591695321654385,0.013684482313452095
2007-10-12,976.75,979.00,993.25,973.25,109.66K,-0.48%,6.88423073393518,-0.00485127978133626,-0.0048395313295975795
2007-10-15,987.0,977.25,992.25,972.50,79.42K,1.05%,6.894670039433482,0.010439305498302076,0.010493985154850227
2007-10-16,977.5,986.50,994.00,974.25,59.16K,-0.96%,6.884998291859521,-0.009671747573960943,-0.009625126646403248
2007-10-17,974.25,975.00,988.00,967.50,75.15K,-0.33%,6.881667944218819,-0.0033303476407020582,-0.0033248081841432686
2007-10-18,991.5,974.00,996.75,973.00,72.38K,1.77%,6.8992189479598505,0.01755100374103158,0.01770592763664358
2007-10-19,983.25,987.75,994.00,975.50,57.41K,-0.83%,6.890863411311919,-0.008355536647931316,-0.008320726172465931
2007-10-22,976.5,979.00,984.50,961.00,76.53K,-0.69%,6.8839747503167334,-0.0068886609951857025,-0.006864988558352381
2007-10-23,981.75,976.50,988.00,976.25,70.27K,0.54%,6.889336693458119,0.0053619431413851615,0.005376344086021501
2007-10-24,976.25,980.75,987.00,974.00,60.62K,-0.56%,6.883718701153896,-0.005617992304222774,-0.0056022408963585235
2007-10-25,994.75,976.50,996.75,975.00,53.49K,1.90%,6.902491449307038,0.018772748153142338,0.01895006402048649
2007-10-26,995.5,993.75,"1,007.00",992.50,57.01K,0.08%,6.903245123504251,0.0007536741972131722,0.00075395828097502
2007-10-29,1011.0,"1,000.00","1,014.00",996.00,65.80K,1.56%,6.918695219020472,0.01545009551622023,0.01557006529382221
2007-10-30,992.0,"1,008.50","1,010.25",990.50,79.38K,-1.88%,6.899723107284872,-0.018972111735599206,-0.01879327398615227
2007-10-31,1010.0,990.25,"1,016.50",987.75,52.26K,1.81%,6.917705609835305,0.017982502550432322,0.01814516129032251
2007-11-01,990.75,"1,009.50","1,018.50",964.25,38.57K,-1.91%,6.898462232070544,-0.01924337776476026,-0.019059405940594076
