Date,Price,Open,High,Low,Vol.,Change %,log_price,log_return,pct_return
2007-08-24,9.39,9.53,9.65,9.37,29.19K,-1.47%,2.2396452932201716,,
2007-08-27,9.46,9.43,9.48,9.39,11.20K,0.75%,2.247072383063787,0.007427089843615509,0.007454739084132189
2007-08-28,9.45,9.46,9.52,9.41,14.68K,-0.11%,2.2460147415056513,-0.0010576415581358134,-0.0010570824524314126
2007-08-29,9.42,9.44,9.46,9.3,23.44K,-0.32%,2.2428350885882717,-0.0031796529173795385,-0.0031746031746030523
2007-08-30,9.54,9.42,9.58,9.38,30.43K,1.27%,2.255493485460195,0.012658396871923383,0.01273885350318471
2007-08-31,9.48,9.49,9.55,9.42,29.66K,-0.63%,2.2491843162669305,-0.00630916919326463,-0.0062893081761005165
2007-09-04,9.45,9.46,9.56,9.37,45.51K,-0.32%,2.2460147415056513,-0.0031695747612792147,-0.0031645569620254443
2007-09-05,9.38,9.45,9.45,9.24,51.90K,-0.74%,2.238579763018133,-0.0074349784875180625,-0.007407407407407196
2007-09-06,9.37,9.38,9.47,9.22,41.24K,-0.11%,2.2375130962503307,-0.0010666667678025377,-0.0010660980810236476
2007-09-07,9.41,9.37,9.45,9.23,37.83K,0.43%,2.2417729535972883,0.004259857346957663,0.004268943436499528
2007-09-10,9.29,9.4,9.52,9.26,76.18K,-1.28%,2.2289385528257473,-0.012834400771541077,-0.012752391073326375
2007-09-11,9.3,9.32,9.4,9.2,69.85K,0.11%,2.2300144001592104,0.0010758473334631091,0.0010764262648010892
2007-09-12,9.29,9.3,9.4,9.25,57.88K,-0.11%,2.2289385528257473,-0.0010758473334631091,-0.0010752688172044333
2007-09-13,9.27,9.3,9.41,9.25,94.63K,-0.22%,2.2267833795777636,-0.002155173247983644,-0.002152852529601623
2007-09-14,9.35,9.28,9.39,9.24,77.67K,0.86%,2.2353763433005955,0.008592963722831914,0.008629989212513456
2007-09-17,9.34,9.39,9.44,9.3,40.55K,-0.11%,2.234306252240751,-0.001070091059844458,-0.0010695187165775666
2007-09-18,9.35,9.38,9.4,9.32,29.96K,0.11%,2.2353763433005955,0.001070091059844458,0.0010706638115631772
2007-09-19,9.69,9.37,9.7,9.37,50.72K,3.64%,2.2710944259026746,0.03571808260207909,0.036363636363636376
2007-09-20,9.84,9.68,9.95,9.68,43.75K,1.55%,2.286455711064162,0.01536128516148727,0.015479876160990669
2007-09-21,9.79,9.78,9.95,9.73,33.35K,-0.51%,2.281361456542419,-0.005094254521742947,-0.005081300813008172
2007-09-24,9.88,9.79,9.95,9.79,,0.92%,2.2905125117597764,0.009151055217357484,0.009193054136874546
2007-09-25,9.83,9.86,9.97,9.81,29.73K,-0.51%,2.285438934159075,-0.005073577600701373,-0.005060728744939347
2007-09-26,9.72,9.81,9.89,9.7,29.04K,-1.12%,2.2741856184723477,-0.011253315686727383,-0.011190233977619424
2007-09-27,9.82,9.75,9.9,9.63,32.96K,1.03%,2.2844211223663744,0.01023550389402672,0.010288065843621297
2007-09-28,9.56,9.8,9.82,8.9,14.58K,-2.65%,2.25758772706331,-0.02683339530306439,-0.02647657841140527
2007-10-01,9.93,10.14,10.14,9.86,59.73K,3.87%,2.295560478057081,0.037972750993771065,0.0387029288702927
2007-10-02,10.02,9.92,10.09,9.79,32.87K,0.91%,2.3045830956567186,0.009022617599637517,0.009063444108761365
2007-10-03,9.84,10.1,10.18,9.81,45.36K,-1.80%,2.286455711064162,-0.018127384592556695,-0.017964071856287345
2007-10-04,9.79,9.81,9.94,9.77,37.06K,-0.51%,2.281361456542419,-0.005094254521742947,-0.005081300813008172
2007-10-05,9.79,9.84,9.92,9.76,28.21K,0.00%,2.281361456542419,0.0,0.0
2007-10-08,9.75,9.77,9.84,9.59,56.24K,-0.41%,2.277267285009756,-0.004094171532663005,-0.004085801838610736
2007-10-09,9.91,9.77,9.96,9.68,37.91K,1.64%,2.2935443483418965,0.016277063332140518,0.016410256410256396
2007-10-10,9.74,9.93,9.98,9.73,42.60K,-1.72%,2.2762411176544437,-0.017303230687452764,-0.017154389505549927
2007-10-11,9.81,9.74,9.89,9.72,46.12K,0.72%,2.2834022735772717,0.007161155922827955,0.007186858316221789
2007-10-12,9.8,9.8,9.92,9.73,46.30K,-0.10%,2.2823823856765264,-0.0010198879007452533,-0.0010193679918449883
2007-10-15,9.95,9.8,10.0,9.77,30.44K,1.53%,2.2975725511705014,0.015190165493975005,0.015306122448979442
2007-10-16,10.15,9.95,10.18,9.95,45.88K,2.01%,2.3174737054877963,0.01990115431729489,0.0201005025125629
2007-10-17,10.13,10.12,10.23,10.03,50.66K,-0.20%,2.315501318260592,-0.0019723872272043863,-0.0019704433497536034
2007-10-18,10.09,10.07,10.16,10.0,31.07K,-0.39%,2.3115448343655176,-0.003956483895074303,-0.003948667324777944
2007-10-19,10.21,10.08,10.25,10.08,37.91K,1.19%,2.3233676321765744,0.011822797811056773,0.01189296333002976
2007-10-22,10.17,10.22,10.25,10.09,25.19K,-0.39%,2.3194422100604686,-0.003925422116105803,-0.003917727717923647
2007-10-23,10.17,10.19,10.32,10.13,59.74K,0.00%,2.3194422100604686,0.0,0.0
2007-10-24,10.14,10.17,10.26,10.13,32.36K,-0.29%,2.316487998163037,-0.0029542118974315024,-0.002949852507374562
2007-10-25,10.22,10.16,10.3,10.16,27.62K,0.79%,2.3243465847755584,0.007858586612521368,0.007889546351084853
2007-10-26,10.15,10.29,10.5,10.08,90.80K,-0.68%,2.3174737054877963,-0.006872879287762146,-0.006849315068493178
2007-10-29,10.07,10.2,10.23,10.06,49.39K,-0.79%,2.309560706730471,-0.007912998757325429,-0.007881773399014746
2007-10-30,10.07,10.09,10.11,9.99,30.51K,0.00%,2.309560706730471,0.0,0.0
2007-10-31,9.98,10.0,10.05,9.93,47.88K,-0.89%,2.300583090323373,-0.008977616407098044,-0.00893743793445878
2007-11-01,9.91,10.0,10.21,9.83,84.58K,-0.70%,2.2935443483418965,-0.00703874198147636,-0.007014028056112287
2007-11-02,9.94,9.87,9.97,9.83,36.32K,0.30%,2.2965670206684825,0.00302267232658604,0.003027245206861595
2007-11-05,9.9,9.92,9.97,9.88,35.55K,-0.40%,2.2925347571405443,-0.0040322635279381736,-0.004024144869215207
2007-11-06,10.05,9.9,10.11,9.89,46.04K,1.52%,2.307572634505085,0.015037877364540542,0.015151515151515138
2007-11-07,10.15,10.11,10.19,10.07,29.88K,1.00%,2.3174737054877963,0.009901070982711424,0.00995024875621886
2007-11-08,10.15,10.1,10.2,10.07,29.10K,0.00%,2.3174737054877963,0.0,0.0
2007-11-09,10.03,10.12,10.17,10.0,32.75K,-1.18%,2.305580601973844,-0.01189310351395223,-0.011822660098522286
2007-11-12,9.96,10.01,10.03,9.93,29.53K,-0.70%,2.298577071596507,-0.007003530377337253,-0.006979062811565129
2007-11-13,9.9,9.95,10.02,9.85,42.22K,-0.60%,2.2925347571405443,-0.006042314455962483,-0.006024096385542244
2007-11-14,9.94,9.92,9.99,9.86,33.68K,0.40%,2.2965670206684825,0.0040322635279381736,0.004040404040403844
2007-11-15,9.9,9.96,9.96,9.87,28.10K,-0.40%,2.2925347571405443,-0.0040322635279381736,-0.004024144869215207
2007-11-16,9.84,9.88,9.95,9.81,40.52K,-0.61%,2.286455711064162,-0.006079046076382433,-0.0060606060606061
2007-11-19,9.8,9.84,9.87,9.76,33.61K,-0.41%,2.2823823856765264,-0.004073325387635496,-0.004065040650406471
2007-11-20,9.75,9.83,9.84,9.73,33.40K,-0.51%,2.277267285009756,-0.005115100666770456,-0.005102040816326592
2007-11-21,9.78,9.81,9.82,9.74,19.06K,0.31%,2.280339484046726,0.0030721990369699803,0.003076923076922977
2007-11-26,9.74,9.79,9.86,9.72,26.15K,-0.41%,2.2762411176544437,-0.004098366392282227,-0.004089979550102152
2007-11-27,9.7,9.74,9.9,9.63,63.68K,-0.41%,2.272125885509337,-0.004115232145106784,-0.004106776180698213
2007-11-28,9.94,9.85,9.97,9.8,53.44K,2.47%,2.2965670206684825,0.02444113515914559,0.024742268041237248
2007-11-29,9.79,9.87,9.95,9.76,40.85K,-1.51%,2.281361456542419,-0.015205564126063553,-0.015090543259557387
2007-11-30,9.75,9.77,9.82,9.73,25.27K,-0.41%,2.277267285009756,-0.004094171532663005,-0.004085801838610736
2007-12-03,9.71,9.73,9.79,9.66,35.19K,-0.41%,2.2731562823032334,-0.004111002706522537,-0.004102564102564044
2007-12-04,9.74,9.72,9.78,9.71,16.43K,0.31%,2.2762411176544437,0.003084835351210291,0.003089598352214118
2007-12-05,9.85,9.76,9.9,9.73,41.05K,1.13%,2.2874714551839976,0.011230337529553935,0.011293634496919891
2007-12-06,9.88,9.85,9.93,9.83,28.07K,0.30%,2.2905125117597764,0.0030410565757788,0.0030456852791880262
2007-12-07,9.9,9.9,9.95,9.83,26.73K,0.20%,2.2925347571405443,0.0020222453807678953,0.002024291497975561
2007-12-10,10.12,9.93,10.15,9.89,60.27K,2.22%,2.3145136638593193,0.021978906718775004,0.022222222222222143
2007-12-11,10.3,10.14,10.35,10.12,89.11K,1.78%,2.33214389523559,0.017630231376270622,0.017786561264822254
2007-12-12,10.3,10.3,10.39,10.25,40.91K,0.00%,2.33214389523559,0.0,0.0
2007-12-13,10.31,10.33,10.35,10.28,17.69K,0.10%,2.333114298028869,0.0009704027932788684,0.000970873786407811
2007-12-14,10.48,10.31,10.64,10.26,62.86K,1.65%,2.349468678892896,0.016354380864027185,0.016488845780795236
2007-12-17,10.76,10.57,10.79,10.55,60.45K,2.67%,2.3758355547336385,0.026366875840742487,0.026717557251908275
2007-12-18,10.64,10.76,10.78,10.59,33.49K,-1.12%,2.3646204839134985,-0.01121507082013995,-0.011152416356877248
2007-12-19,10.74,10.57,10.8,10.56,34.49K,0.94%,2.3739750890807185,0.009354605167219976,0.009398496240601517
2007-12-20,11.07,10.78,11.14,10.75,78.08K,3.07%,2.4042387467205457,0.03026365763982719,0.030726256983240274
