Date,coffee_c,coffee_c_log_return,api_source_date,api_price,api_instrument_id,api_raw_symbol,api_expiration,api_days_to_expiry,api_open_interest_x,api_contract_rank,api_log_ret_1d,api_log_ret_5d,api_log_ret_20d,api_vol_20d,api_vol_60d,api_roll_changed,api_fx_source_date,api_brl_per_usd,api_fx_log_ret_1d,api_fx_log_ret_5d,api_fx_log_ret_20d,api_fx_vol_20d,api_fx_vol_60d,api_market_name,api_position_date,api_open_interest_y,api_noncommercial_long,api_noncommercial_short,api_noncommercial_spreading,api_commercial_long,api_commercial_short,api_nonreportable_long,api_nonreportable_short,api_release_date,api_spec_net,api_comm_net,api_spec_net_pct_oi,api_comm_net_pct_oi,api_spec_z_26w,api_spec_z_52w,api_comm_z_26w,api_comm_z_52w,api_curve_source_date,api_rank1_price,api_rank1_dte,api_rank1_oi,api_rank2_price,api_rank2_dte,api_rank2_oi,api_rank3_price,api_rank3_dte,api_rank3_oi,api_rank4_price,api_rank4_dte,api_rank4_oi,api_rank5_price,api_rank5_dte,api_rank5_oi,api_rank6_price,api_rank6_dte,api_rank6_oi,api_cm_1m_price,api_cm_3m_price,api_cm_6m_price,api_spread_1_2,api_spread_1_3,api_spread_3_6,api_basis_cm1_spotproxy,api_curve_slope_1_6,api_curve_curvature_1_3_6,api_rank1_price_ret_5d,api_rank1_price_ret_20d,api_cm_3m_price_ret_5d,api_cm_3m_price_ret_20d,api_cm_6m_price_ret_5d,api_cm_6m_price_ret_20d,api_curve_slope_1_6_ret_5d,api_curve_slope_1_6_ret_20d,api_curve_curvature_1_3_6_ret_5d,api_curve_curvature_1_3_6_ret_20d,api_weather_source_date,api_weather_tavg_c,api_weather_tmax_c,api_weather_tmin_c,api_weather_precip_mm,api_weather_rain_mm,api_rain_30d,api_rain_7d,api_rain_anom_30d,api_tavg_anom_30d,api_tmin_anom_30d,api_rain_ratio_30d,api_frost_7d_flag,api_heat_7d_flag,api_fcst_rain_1_7d,api_fcst_rain_8_14d,api_fcst_rain_1_14d,api_fcst_tavg_1_7d,api_fcst_tavg_8_14d,api_fcst_tmin_1_7d,api_fcst_tmax_1_7d,api_fcst_cold_flag_1_7d,api_fcst_heat_flag_1_7d,api_spot_proxy_price,api_price_lag_1,api_price_lag_4,api_price_lag_13,api_price_lag_26,api_brl_per_usd_lag_1,api_brl_per_usd_lag_4,api_brl_per_usd_lag_13,api_brl_per_usd_lag_26,api_spec_net_lag_1,api_spec_net_lag_4,api_spec_net_lag_13,api_spec_net_lag_26,api_comm_net_lag_1,api_comm_net_lag_4,api_comm_net_lag_13,api_comm_net_lag_26,api_spec_net_pct_oi_lag_1,api_spec_net_pct_oi_lag_4,api_spec_net_pct_oi_lag_13,api_spec_net_pct_oi_lag_26,api_comm_net_pct_oi_lag_1,api_comm_net_pct_oi_lag_4,api_comm_net_pct_oi_lag_13,api_comm_net_pct_oi_lag_26,api_rain_30d_lag_1,api_rain_30d_lag_4,api_rain_30d_lag_13,api_rain_30d_lag_26,api_rain_7d_lag_1,api_rain_7d_lag_4,api_rain_7d_lag_13,api_rain_7d_lag_26,api_tavg_anom_30d_lag_1,api_tavg_anom_30d_lag_4,api_tavg_anom_30d_lag_13,api_tavg_anom_30d_lag_26,api_tmin_anom_30d_lag_1,api_tmin_anom_30d_lag_4,api_tmin_anom_30d_lag_13,api_tmin_anom_30d_lag_26,api_rain_ratio_30d_lag_1,api_rain_ratio_30d_lag_4,api_rain_ratio_30d_lag_13,api_rain_ratio_30d_lag_26,api_rank1_price_lag_1,api_rank1_price_lag_4,api_rank1_price_lag_13,api_rank1_price_lag_26,api_cm_3m_price_lag_1,api_cm_3m_price_lag_4,api_cm_3m_price_lag_13,api_cm_3m_price_lag_26,api_cm_6m_price_lag_1,api_cm_6m_price_lag_4,api_cm_6m_price_lag_13,api_cm_6m_price_lag_26,api_curve_slope_1_6_lag_1,api_curve_slope_1_6_lag_4,api_curve_slope_1_6_lag_13,api_curve_slope_1_6_lag_26,api_curve_curvature_1_3_6_lag_1,api_curve_curvature_1_3_6_lag_4,api_curve_curvature_1_3_6_lag_13,api_curve_curvature_1_3_6_lag_26,api_spot_proxy_price_lag_1,api_spot_proxy_price_lag_4,api_spot_proxy_price_lag_13,api_spot_proxy_price_lag_26,api_price_brl_per_usd_interaction,api_price_spec_net_interaction,api_price_rain_30d_interaction,api_rank1_price_brl_per_usd_interaction,api_rank1_price_spec_net_interaction,api_cm_3m_price_cm_6m_price_interaction,api_target_ret_1w,api_target_ret_4w,api_target_ret_13w,api_target_ret_26w,api_panel_available_flag,days_since_api_panel,coffee_log_price,api_spec_net_missing_flag,api_curve_missing_flag
2007-08-24,114.6500015258789,,,114.65,0,,,365,,1,,,,,,True,,1.9847,-0.0042234463704791,-0.0259121796049291,0.0404084994631857,0.0180199974134096,0.0116697943656217,,,159535,51208,24969,27536,51208,24969,10664,7734,,26239,26239,0.1644717460118469,0.1644717460118469,2.1250495707717287,1.341196000784292,2.1250495707717287,1.341196000784292,,114.65,365,,,,,,,,,,,,,,,,,114.65,114.65,114.65,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,19.6,27.1,11.9,0.0,0.0,30.6,0.0,23.423809523809528,-1.3165079365079364,-0.972222222222222,4.264100862641008,0.0,0.0,,,,,,,,,,114.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227.545855,3008301.35,3508.2900000000004,227.545855,3008301.35,13144.6225,-0.0175983424256599,0.1248809143726403,0.073952206487275,0.3342268667512537,1.0,0.0,4.741884022612932,0.0,0.0
2007-08-27,113.0999984741211,-0.0136116529822709,,114.65,0,,,365,,1,,,,,,True,,1.9847,-0.0042234463704791,-0.0259121796049291,0.0404084994631857,0.0180199974134096,0.0116697943656217,,,159535,51208,24969,27536,51208,24969,10664,7734,,26239,26239,0.1644717460118469,0.1644717460118469,2.1250495707717287,1.341196000784292,2.1250495707717287,1.341196000784292,,114.65,365,,,,,,,,,,,,,,,,,114.65,114.65,114.65,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,19.6,27.1,11.9,0.0,0.0,30.6,0.0,23.423809523809528,-1.3165079365079364,-0.972222222222222,4.264100862641008,0.0,0.0,,,,,,,,,,114.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227.545855,3008301.35,3508.2900000000004,227.545855,3008301.35,13144.6225,-0.0175983424256599,0.1248809143726403,0.073952206487275,0.3342268667512537,1.0,0.0,4.728272369630661,0.0,0.0
2007-08-28,113.6500015258789,0.004851194094015,,114.65,0,,,365,,1,,,,,,True,,1.9847,-0.0042234463704791,-0.0259121796049291,0.0404084994631857,0.0180199974134096,0.0116697943656217,,,159535,51208,24969,27536,51208,24969,10664,7734,,26239,26239,0.1644717460118469,0.1644717460118469,2.1250495707717287,1.341196000784292,2.1250495707717287,1.341196000784292,,114.65,365,,,,,,,,,,,,,,,,,114.65,114.65,114.65,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,19.6,27.1,11.9,0.0,0.0,30.6,0.0,23.423809523809528,-1.3165079365079364,-0.972222222222222,4.264100862641008,0.0,0.0,,,,,,,,,,114.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227.545855,3008301.35,3508.2900000000004,227.545855,3008301.35,13144.6225,-0.0175983424256599,0.1248809143726403,0.073952206487275,0.3342268667512537,1.0,0.0,4.733123563724676,0.0,0.0
2007-08-29,112.6500015258789,-0.0088378833011146,,114.65,0,,,365,,1,,,,,,True,,1.9847,-0.0042234463704791,-0.0259121796049291,0.0404084994631857,0.0180199974134096,0.0116697943656217,,,159535,51208,24969,27536,51208,24969,10664,7734,,26239,26239,0.1644717460118469,0.1644717460118469,2.1250495707717287,1.341196000784292,2.1250495707717287,1.341196000784292,,114.65,365,,,,,,,,,,,,,,,,,114.65,114.65,114.65,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,19.6,27.1,11.9,0.0,0.0,30.6,0.0,23.423809523809528,-1.3165079365079364,-0.972222222222222,4.264100862641008,0.0,0.0,,,,,,,,,,114.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227.545855,3008301.35,3508.2900000000004,227.545855,3008301.35,13144.6225,-0.0175983424256599,0.1248809143726403,0.073952206487275,0.3342268667512537,1.0,0.0,4.724285680423561,0.0,0.0
2007-08-30,111.75,-0.0080214469298827,,114.65,0,,,365,,1,,,,,,True,,1.9847,-0.0042234463704791,-0.0259121796049291,0.0404084994631857,0.0180199974134096,0.0116697943656217,,,159535,51208,24969,27536,51208,24969,10664,7734,,26239,26239,0.1644717460118469,0.1644717460118469,2.1250495707717287,1.341196000784292,2.1250495707717287,1.341196000784292,,114.65,365,,,,,,,,,,,,,,,,,114.65,114.65,114.65,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,19.6,27.1,11.9,0.0,0.0,30.6,0.0,23.423809523809528,-1.3165079365079364,-0.972222222222222,4.264100862641008,0.0,0.0,,,,,,,,,,114.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227.545855,3008301.35,3508.2900000000004,227.545855,3008301.35,13144.6225,-0.0175983424256599,0.1248809143726403,0.073952206487275,0.3342268667512537,1.0,0.0,4.716264233493678,0.0,0.0
2007-08-31,112.6500015258789,0.0080214469298827,,112.65,0,,,365,,1,0.0080214333845753,-0.0175983424256599,,,,False,,1.9612,-0.0079734304248135,-0.0119112384211346,0.0419656559341017,0.0187116633010772,0.0119172679358161,,,153817,52508,28298,25846,52508,28298,8339,5946,,24210,24210,0.1573948263195875,0.1573948263195875,1.8448364290560035,1.201306092859738,1.8448364290560035,1.201306092859738,,112.65,365,,,,,,,,,,,,,,,,,112.65,112.65,112.65,,,0.0,0.0,0.0,0.0,-0.0175983424256599,,-0.0175983424256599,,-0.0175983424256599,,,,,,,20.8,26.1,15.5,0.0,0.0,0.0,0.0,-5.176190476190473,-0.6484126984126983,-1.0166666666666666,0.0,0.0,0.0,,,,,,,,,,112.65,114.65,,,,1.9847,,,,26239.0,,,,26239.0,,,,0.1644717460118469,,,,0.1644717460118469,,,,30.6,,,,0.0,,,,-1.3165079365079364,,,,-0.972222222222222,,,,4.264100862641008,,,,114.65,,,,114.65,,,,114.65,,,,0.0,,,,0.0,,,,114.65,,,,220.92918000000003,2727256.5,0.0,220.92918000000003,2727256.5,12690.0225,0.0097173909528062,0.1328098718494996,0.1115993359203657,0.3792326213647159,1.0,0.0,4.724285680423561,0.0,0.0
2007-09-04,114.5500030517578,0.0167257551172159,,112.65,0,,,365,,1,0.0080214333845753,-0.0175983424256599,,,,False,,1.9612,-0.0079734304248135,-0.0119112384211346,0.0419656559341017,0.0187116633010772,0.0119172679358161,,,153817,52508,28298,25846,52508,28298,8339,5946,,24210,24210,0.1573948263195875,0.1573948263195875,1.8448364290560035,1.201306092859738,1.8448364290560035,1.201306092859738,,112.65,365,,,,,,,,,,,,,,,,,112.65,112.65,112.65,,,0.0,0.0,0.0,0.0,-0.0175983424256599,,-0.0175983424256599,,-0.0175983424256599,,,,,,,20.8,26.1,15.5,0.0,0.0,0.0,0.0,-5.176190476190473,-0.6484126984126983,-1.0166666666666666,0.0,0.0,0.0,,,,,,,,,,112.65,114.65,,,,1.9847,,,,26239.0,,,,26239.0,,,,0.1644717460118469,,,,0.1644717460118469,,,,30.6,,,,0.0,,,,-1.3165079365079364,,,,-0.972222222222222,,,,4.264100862641008,,,,114.65,,,,114.65,,,,114.65,,,,0.0,,,,0.0,,,,114.65,,,,220.92918000000003,2727256.5,0.0,220.92918000000003,2727256.5,12690.0225,0.0097173909528062,0.1328098718494996,0.1115993359203657,0.3792326213647159,1.0,0.0,4.741011435540777,0.0,0.0
2007-09-05,112.4499969482422,-0.0185027842742506,,112.65,0,,,365,,1,0.0080214333845753,-0.0175983424256599,,,,False,,1.9612,-0.0079734304248135,-0.0119112384211346,0.0419656559341017,0.0187116633010772,0.0119172679358161,,,153817,52508,28298,25846,52508,28298,8339,5946,,24210,24210,0.1573948263195875,0.1573948263195875,1.8448364290560035,1.201306092859738,1.8448364290560035,1.201306092859738,,112.65,365,,,,,,,,,,,,,,,,,112.65,112.65,112.65,,,0.0,0.0,0.0,0.0,-0.0175983424256599,,-0.0175983424256599,,-0.0175983424256599,,,,,,,20.8,26.1,15.5,0.0,0.0,0.0,0.0,-5.176190476190473,-0.6484126984126983,-1.0166666666666666,0.0,0.0,0.0,,,,,,,,,,112.65,114.65,,,,1.9847,,,,26239.0,,,,26239.0,,,,0.1644717460118469,,,,0.1644717460118469,,,,30.6,,,,0.0,,,,-1.3165079365079364,,,,-0.972222222222222,,,,4.264100862641008,,,,114.65,,,,114.65,,,,114.65,,,,0.0,,,,0.0,,,,114.65,,,,220.92918000000003,2727256.5,0.0,220.92918000000003,2727256.5,12690.0225,0.0097173909528062,0.1328098718494996,0.1115993359203657,0.3792326213647159,1.0,0.0,4.722508651266526,0.0,0.0
2007-09-06,113.5500030517578,0.0097346441609351,,112.65,0,,,365,,1,0.0080214333845753,-0.0175983424256599,,,,False,,1.9612,-0.0079734304248135,-0.0119112384211346,0.0419656559341017,0.0187116633010772,0.0119172679358161,,,153817,52508,28298,25846,52508,28298,8339,5946,,24210,24210,0.1573948263195875,0.1573948263195875,1.8448364290560035,1.201306092859738,1.8448364290560035,1.201306092859738,,112.65,365,,,,,,,,,,,,,,,,,112.65,112.65,112.65,,,0.0,0.0,0.0,0.0,-0.0175983424256599,,-0.0175983424256599,,-0.0175983424256599,,,,,,,20.8,26.1,15.5,0.0,0.0,0.0,0.0,-5.176190476190473,-0.6484126984126983,-1.0166666666666666,0.0,0.0,0.0,,,,,,,,,,112.65,114.65,,,,1.9847,,,,26239.0,,,,26239.0,,,,0.1644717460118469,,,,0.1644717460118469,,,,30.6,,,,0.0,,,,-1.3165079365079364,,,,-0.972222222222222,,,,4.264100862641008,,,,114.65,,,,114.65,,,,114.65,,,,0.0,,,,0.0,,,,114.65,,,,220.92918000000003,2727256.5,0.0,220.92918000000003,2727256.5,12690.0225,0.0097173909528062,0.1328098718494996,0.1115993359203657,0.3792326213647159,1.0,0.0,4.732243295427462,0.0,0.0
2007-09-07,113.75,0.0017597624035978,,113.75,0,,,365,,1,0.0017597892794923,0.0177388243373816,,,,False,,1.9537,-0.0048507843590571,-0.0118049506043019,0.0182856334552976,0.0179756724808969,0.0118724173254369,,,158302,52846,32340,26616,52846,32340,10472,7637,,20506,20506,0.1295372136801809,0.1295372136801809,1.299364188420316,0.8026005093419497,1.299364188420316,0.8026005093419497,,113.75,365,,,,,,,,,,,,,,,,,113.75,113.75,113.75,,,0.0,0.0,0.0,0.0,0.0177388243373816,,0.0177388243373816,,0.0177388243373816,,,,,,,21.7,27.6,14.3,0.0,0.0,0.0,0.0,-9.161904761904758,-0.4930158730158729,-0.7204761904761903,0.0,0.0,0.0,,,,,,,,,,113.75,112.65,,,,1.9612,,,,24210.0,,,,24210.0,,,,0.1573948263195875,,,,0.1573948263195875,,,,0.0,,,,0.0,,,,-0.6484126984126983,,,,-1.0166666666666666,,,,0.0,,,,112.65,,,,112.65,,,,112.65,,,,0.0,,,,0.0,,,,112.65,,,,222.233375,2332557.5,0.0,222.233375,2332557.5,12939.0625,0.0371052057004621,0.185977867997065,0.116072171252754,0.2682639865946793,1.0,0.0,4.7340030578310595,0.0,0.0
