horizon_weeks,feature,importance
4,api_target_ret_4w,0.24185657501220703
4,api_target_ret_13w,0.11612004786729813
4,api_noncommercial_short,0.07668401300907135
4,api_target_ret_26w,0.0666494369506836
4,api_comm_z_52w,0.04209642484784126
4,api_price_lag_26,0.04177510738372803
4,api_vol_60d,0.034146539866924286
4,api_tmin_anom_30d_lag_26,0.02678786590695381
4,coffee_zscore_252d,0.02386619709432125
4,api_nonreportable_long,0.02076609432697296
4,coffee_dir_consistency_60d,0.018367957323789597
4,api_rain_30d_lag_26,0.016329124569892883
4,api_target_ret_1w,0.015039739198982716
4,coffee_vs_sma_60d,0.014988069422543049
4,api_open_interest_y,0.014536995440721512
4,api_spec_z_26w,0.012881455011665821
4,coffee_vs_sma_120d,0.012474343180656433
4,api_rain_ratio_30d_lag_13,0.01203188207000494
4,api_spec_net_4w_chg,0.011771546676754951
4,api_comm_net_lag_26,0.01134316436946392
4,api_tmin_anom_30d_lag_4,0.011147290468215942
4,api_nonreportable_short,0.011008703149855137
4,api_tavg_anom_30d_lag_4,0.010905980132520199
4,api_fx_log_ret_20d,0.010646956972777843
4,api_rain_anom_30d,0.010123836807906628
4,api_tavg_anom_30d,0.009934470057487488
4,coffee_vs_sma_252d,0.009217928163707256
4,coffee_c_log_return_roll_mean_5,0.008968538604676723
4,api_spec_net_pct_oi,0.008499706164002419
4,coffee_vol_regime_ratio_20_60,0.00769287021830678
4,coffee_cum_logret_30d,0.006688924506306648
4,coffee_vs_sma_20d,0.005966054275631905
4,api_tavg_anom_30d_lag_1,0.005184733774513006
4,api_rain_ratio_30d_lag_4,0.005167778581380844
4,coffee_std_120d,0.005110010504722595
4,api_fx_log_ret_1d,0.004906480200588703
4,api_spec_net_lag_4,0.004818842280656099
4,coffee_momentum_acceleration,0.004687735345214605
4,api_fx_log_ret_5d,0.004227295517921448
4,api_rank1_price_ret_5d,0.004117421805858612
4,api_log_ret_1d,0.004089823458343744
4,api_weather_tavg_c,0.003661717288196087
4,api_rank1_price_ret_20d,0.003592728404328227
4,coffee_vol_20d,0.003443727968260646
4,coffee_c_log_return_roll_std_10,0.003401408204808831
4,day_of_week,0.002276364481076598
4,api_fcst_tmax_1_7d,0.0
4,api_fcst_rain_1_14d_z26,0.0
4,api_fcst_tmin_1_7d_z26,0.0
4,api_fcst_heat_flag_1_7d_z26,0.0
12,api_target_ret_13w,0.6047614812850952
12,api_target_ret_26w,0.11789830029010773
12,coffee_c_log_return_roll_mean_20,0.04706108197569847
12,api_brl_per_usd_lag_4,0.03255658969283104
12,api_noncommercial_short,0.031985435634851456
12,api_price_lag_26,0.02941828779876232
12,api_fx_log_ret_20d,0.027264893054962158
12,coffee_52w_low,0.023932645097374916
12,coffee_dir_consistency_120d,0.01977112889289856
12,coffee_vs_sma_20d,0.014605485834181309
12,api_target_ret_4w,0.012380152009427547
12,coffee_momentum_acceleration,0.009873690083622932
12,api_target_ret_1w,0.008716365322470665
12,coffee_c_log_return_roll_mean_5,0.008671185001730919
12,coffee_cum_logret_180d,0.005736606661230326
12,coffee_sharpe_120d,0.0053667062893509865
12,api_fcst_tavg_8_14d_z26,0.0
26,api_target_ret_26w,0.4748939573764801
26,coffee_52w_low,0.10898489505052567
26,api_target_ret_13w,0.09426439553499222
26,coffee_dist_52w_low,0.08074936270713806
26,coffee_sma_120d,0.056742746382951736
26,coffee_dir_consistency_252d,0.038554396480321884
26,api_price_lag_26,0.03629855811595917
26,api_spec_net_lag_1,0.017236458137631416
26,coffee_std_252d,0.016833648085594177
26,coffee_sharpe_252d,0.015879906713962555
26,coffee_std_120d,0.015728147700428963
26,api_tmin_anom_30d,0.015184718184173107
26,api_nonreportable_long,0.014360345900058746
26,api_tmin_anom_30d_lag_4,0.014288445934653282
52,api_brl_per_usd_lag_4,0.1335863173007965
52,api_price,0.1210041493177414
52,api_price_brl_per_usd_interaction,0.11771626770496368
52,api_target_ret_26w,0.10388436913490295
52,coffee_sma_120d,0.07529258728027344
52,coffee_sma_60d,0.04527251049876213
52,coffee_52w_high,0.03962099552154541
52,api_commercial_long,0.036047786474227905
52,coffee_dist_52w_high,0.03594061732292175
52,api_target_ret_13w,0.028252461925148964
52,coffee_vs_sma_252d,0.01995258964598179
52,coffee_dir_consistency_120d,0.018623314797878265
52,coffee_dist_52w_low,0.01794174127280712
52,api_vol_20d,0.01709878444671631
52,api_noncommercial_spreading,0.015491565689444542
52,api_rain_ratio_30d_lag_13,0.014606866985559464
52,coffee_std_120d,0.014529426582157612
52,api_spec_net_pct_oi_lag_4,0.01435922086238861
52,api_vol_60d,0.014255128800868988
52,coffee_cum_logret_180d,0.013609252870082855
52,api_comm_z_26w,0.01279185526072979
52,coffee_vs_sma_120d,0.01001189649105072
52,coffee_abs_return_60d,0.009945687837898731
52,api_spec_net_pct_oi_lag_13,0.009318969212472439
52,coffee_std_252d,0.009078546427190304
52,api_spec_net_z52,0.00898277759552002
52,coffee_dir_consistency_252d,0.008470000699162483
52,api_rank1_price_lag_26,0.00767450500279665
52,api_spec_net_lag_13,0.006780773401260376
52,coffee_zscore_504d,0.005083869211375713
52,api_spec_net_pct_oi_lag_26,0.0038989169988781214
52,coffee_c_log_return_roll_std_20,0.0035501201637089252
52,api_tmin_anom_30d,0.003128052456304431
52,coffee_sharpe_120d,0.0025793672539293766
52,api_rain_ratio_30d_lag_26,0.0016187535366043448
