analysis_type,target,feature,lag_days,correlation,abs_correlation,n_obs
levels,coffee_c,sugar,189,0.502538093523232,0.502538093523232,4376
levels,coffee_c,usd_brl,178,0.4591773231729903,0.4591773231729903,2696
levels,coffee_c,soybeans,-196,0.26916993521122656,0.26916993521122656,4404
levels,coffee_c,tmin,-135,-0.07435202231264637,0.07435202231264637,4099
levels,coffee_c,tmax,200,0.06155758295454821,0.06155758295454821,4385
levels,coffee_c,rainfall,84,0.024313779552646388,0.024313779552646388,4271
returns,coffee_c_return_pct,sugar_return_pct,0,0.23459743290358123,0.23459743290358123,4702
returns,coffee_c_return_pct,soybeans_return_pct,0,0.17776982981347092,0.17776982981347092,4692
returns,coffee_c_return_pct,usd_brl_return_pct,0,-0.12280082381284352,0.12280082381284352,4493
returns,coffee_c_return_pct,tmax_change_pct,133,0.04497519179324638,0.04497519179324638,4319
returns,coffee_c_return_pct,tmin_change_pct,-2,-0.03791254284531615,0.03791254284531615,4189
