series,date,price,asOfDate,stepWeek,predictedWeeklyLogReturn,anchorWeeklyLogReturn,raw1wLogReturn
history,2025-04-22,377.649994,,,,,
history,2025-04-23,392.399994,,,,,
history,2025-04-24,408.000000,,,,,
history,2025-04-25,408.250000,,,,,
history,2025-04-28,421.549988,,,,,
history,2025-04-29,412.649994,,,,,
history,2025-04-30,413.600006,,,,,
history,2025-05-01,395.700012,,,,,
history,2025-05-02,395.399994,,,,,
history,2025-05-05,398.950012,,,,,
history,2025-05-06,401.100006,,,,,
history,2025-05-07,396.200012,,,,,
history,2025-05-08,397.799988,,,,,
history,2025-05-09,397.149994,,,,,
history,2025-05-12,382.450012,,,,,
history,2025-05-13,384.850006,,,,,
history,2025-05-14,373.950012,,,,,
history,2025-05-15,384.950012,,,,,
history,2025-05-16,376.250000,,,,,
history,2025-05-19,376.149994,,,,,
history,2025-05-20,369.299988,,,,,
history,2025-05-21,370.299988,,,,,
history,2025-05-22,360.750000,,,,,
history,2025-05-23,361.000000,,,,,
history,2025-05-27,361.700012,,,,,
history,2025-05-28,351.950012,,,,,
history,2025-05-29,348.399994,,,,,
history,2025-05-30,342.450012,,,,,
history,2025-06-02,344.450012,,,,,
history,2025-06-03,340.850006,,,,,
history,2025-06-04,346.149994,,,,,
history,2025-06-05,359.750000,,,,,
history,2025-06-06,358.049988,,,,,
history,2025-06-09,361.549988,,,,,
history,2025-06-10,355.049988,,,,,
history,2025-06-11,350.649994,,,,,
history,2025-06-12,347.799988,,,,,
history,2025-06-13,349.700012,,,,,
history,2025-06-16,343.950012,,,,,
history,2025-06-17,335.850006,,,,,
history,2025-06-18,324.899994,,,,,
history,2025-06-20,319.049988,,,,,
history,2025-06-23,330.299988,,,,,
history,2025-06-24,315.350006,,,,,
history,2025-06-25,308.649994,,,,,
history,2025-06-26,309.500000,,,,,
history,2025-06-27,309.899994,,,,,
history,2025-06-30,306.750000,,,,,
history,2025-07-01,298.850006,,,,,
history,2025-07-02,297.950012,,,,,
history,2025-07-03,292.649994,,,,,
history,2025-07-04,292.649994,,,,,
history,2025-07-07,280.049988,,,,,
history,2025-07-08,287.399994,,,,,
history,2025-07-09,285.850006,,,,,
history,2025-07-10,289.899994,,,,,
history,2025-07-11,288.600006,,,,,
history,2025-07-14,305.700012,,,,,
history,2025-07-15,301.600006,,,,,
history,2025-07-16,314.549988,,,,,
history,2025-07-17,312.500000,,,,,
history,2025-07-18,308.899994,,,,,
history,2025-07-21,297.250000,,,,,
history,2025-07-22,296.350006,,,,,
history,2025-07-23,301.350006,,,,,
history,2025-07-24,304.850006,,,,,
history,2025-07-25,297.549988,,,,,
