analysis_type,target,feature,lag_days,correlation,abs_correlation,n_obs
levels,coffee_c,rainfall,-200,-0.006866579859209215,0.006866579859209215,4054
levels,coffee_c,rainfall,-199,-0.009125102938446702,0.009125102938446702,4054
levels,coffee_c,rainfall,-198,0.009587122309124726,0.009587122309124726,4054
levels,coffee_c,rainfall,-197,0.00426439475339918,0.00426439475339918,4055
levels,coffee_c,rainfall,-196,0.007960994277228121,0.007960994277228121,4056
levels,coffee_c,rainfall,-195,0.004346709014191078,0.004346709014191078,4057
levels,coffee_c,rainfall,-194,0.00868652979705,0.00868652979705,4058
levels,coffee_c,rainfall,-193,2.5550273599615163e-05,2.5550273599615163e-05,4058
levels,coffee_c,rainfall,-192,0.006785320324137343,0.006785320324137343,4058
levels,coffee_c,rainfall,-191,0.005110566176712832,0.005110566176712832,4059
levels,coffee_c,rainfall,-190,-0.0035200085938176685,0.0035200085938176685,4060
levels,coffee_c,rainfall,-189,0.008414118444122914,0.008414118444122914,4061
levels,coffee_c,rainfall,-188,0.007460331431620511,0.007460331431620511,4062
levels,coffee_c,rainfall,-187,0.009693029895547614,0.009693029895547614,4063
levels,coffee_c,rainfall,-186,0.004145592146106835,0.004145592146106835,4063
levels,coffee_c,rainfall,-185,0.00020225642836318574,0.00020225642836318574,4063
levels,coffee_c,rainfall,-184,0.0016336574039774203,0.0016336574039774203,4064
levels,coffee_c,rainfall,-183,0.00273869719680781,0.00273869719680781,4065
levels,coffee_c,rainfall,-182,0.008036973696069172,0.008036973696069172,4066
levels,coffee_c,rainfall,-181,0.014959194542205704,0.014959194542205704,4067
levels,coffee_c,rainfall,-180,0.018436206828060433,0.018436206828060433,4068
levels,coffee_c,rainfall,-179,0.0043584927486443135,0.0043584927486443135,4068
levels,coffee_c,rainfall,-178,0.001245732586950151,0.001245732586950151,4068
levels,coffee_c,rainfall,-177,0.004903107323944664,0.004903107323944664,4069
levels,coffee_c,rainfall,-176,0.007056894053704744,0.007056894053704744,4070
levels,coffee_c,rainfall,-175,0.011639250315799612,0.011639250315799612,4071
levels,coffee_c,rainfall,-174,0.019271365361544297,0.019271365361544297,4072
levels,coffee_c,rainfall,-173,0.020557809388467022,0.020557809388467022,4073
levels,coffee_c,rainfall,-172,0.003358390869093181,0.003358390869093181,4073
levels,coffee_c,rainfall,-171,0.004120780928557891,0.004120780928557891,4073
levels,coffee_c,rainfall,-170,0.004714023813663533,0.004714023813663533,4074
levels,coffee_c,rainfall,-169,0.0015625982613060526,0.0015625982613060526,4075
levels,coffee_c,rainfall,-168,0.013710564881090334,0.013710564881090334,4076
levels,coffee_c,rainfall,-167,0.021955269196722464,0.021955269196722464,4077
levels,coffee_c,rainfall,-166,0.020072521521897934,0.020072521521897934,4078
levels,coffee_c,rainfall,-165,0.007916185719079871,0.007916185719079871,4078
levels,coffee_c,rainfall,-164,0.008920769902180855,0.008920769902180855,4078
levels,coffee_c,rainfall,-163,0.012893885201997838,0.012893885201997838,4079
levels,coffee_c,rainfall,-162,0.008203860951299305,0.008203860951299305,4080
levels,coffee_c,rainfall,-161,0.016881914591090702,0.016881914591090702,4081
levels,coffee_c,rainfall,-160,0.02125945056238088,0.02125945056238088,4082
levels,coffee_c,rainfall,-159,0.020469729056446024,0.020469729056446024,4083
levels,coffee_c,rainfall,-158,0.003498201044575997,0.003498201044575997,4083
levels,coffee_c,rainfall,-157,0.0024804567896685526,0.0024804567896685526,4083
levels,coffee_c,rainfall,-156,0.0030004570427378413,0.0030004570427378413,4084
levels,coffee_c,rainfall,-155,0.006660275479625919,0.006660275479625919,4085
levels,coffee_c,rainfall,-154,0.014653779663112156,0.014653779663112156,4086
levels,coffee_c,rainfall,-153,0.016087167903399643,0.016087167903399643,4087
levels,coffee_c,rainfall,-152,0.017203111043785045,0.017203111043785045,4088
levels,coffee_c,rainfall,-151,0.002077208608288012,0.002077208608288012,4088
levels,coffee_c,rainfall,-150,0.004300340751411711,0.004300340751411711,4088
levels,coffee_c,rainfall,-149,0.0043680216586325805,0.0043680216586325805,4089
levels,coffee_c,rainfall,-148,0.002725852848693128,0.002725852848693128,4090
levels,coffee_c,rainfall,-147,0.009679528818230636,0.009679528818230636,4091
levels,coffee_c,rainfall,-146,0.013042912131089702,0.013042912131089702,4092
levels,coffee_c,rainfall,-145,0.009997655351369504,0.009997655351369504,4093
levels,coffee_c,rainfall,-144,-0.0047086190031361995,0.0047086190031361995,4093
levels,coffee_c,rainfall,-143,-0.0048818469957949044,0.0048818469957949044,4093
levels,coffee_c,rainfall,-142,-0.00021402116627079287,0.00021402116627079287,4094
