Date,coffee_c,coffee_c_return_pct,soybeans,soybeans_return_pct,sugar,sugar_return_pct,usd_brl,usd_brl_return_pct,tmax,tmax_change_pct,tmin,tmin_change_pct,rainfall
2001-01-01,,,,,,,,,25.4849,,17.2303,,3.605
2001-01-02,,,,,,,,,26.7325,4.8954,17.0423,-1.0911,0.0
2001-01-03,,,,,,,,,26.7838,0.1918,18.0335,5.8164,0.0
2001-01-04,,,,,,,,,30.5608,14.1017,19.3495,7.2973,0.0
2001-01-05,,,,,,,,,31.9109,4.4179,18.8197,-2.7381,2.4033
2001-01-06,,,,,,,,,32.6031,2.169,21.5029,14.2573,0.0
2001-01-07,,,,,,,,,32.9449,1.0484,21.4003,-0.4769,2.8497
2001-01-08,,,,,,,,,33.6969,2.2825,20.7167,-3.1944,0.0
2001-01-09,,,,,,,,,32.4578,-3.6771,20.8022,0.4125,15.2577
2001-01-10,,,,,,,,,30.0481,-7.4242,20.4262,-1.8074,30.5429
2001-01-11,,,,,,,,,30.9368,2.9576,20.4946,0.3347,0.0
2001-01-12,,,,,,,,,27.3478,-11.601,19.9135,-2.8353,0.0
2001-01-13,,,,,,,,,28.8517,5.4994,18.6146,-6.5226,1.5725
2001-01-14,,,,,,,,,28.3903,-1.5993,16.41,-11.8437,17.4688
2001-01-15,,,,,,,,,28.5612,0.602,16.2305,-1.0935,10.0253
2001-01-16,,,,,,,,,31.5691,10.5314,19.3837,19.4274,3.4059
2001-01-17,,,,,,,,,32.0305,1.4617,20.5458,5.9955,0.5287
2001-01-18,,,,,,,,,33.4576,4.4553,19.6571,-4.3254,3.5844
2001-01-19,,,,,,,,,32.9791,-1.4303,20.8876,6.2598,7.2375
2001-01-20,,,,,,,,,30.1848,-8.4729,19.828,-5.0729,0.0
2001-01-21,,,,,,,,,27.1769,-9.965,19.2811,-2.7582,0.0
2001-01-22,,,,,,,,,28.6296,5.3453,19.1786,-0.5318,11.6459
2001-01-23,,,,,,,,,29.655,3.5817,19.8793,3.6536,0.6798
2001-01-24,,,,,,,,,28.3732,-4.3223,20.0331,0.7737,7.8143
2001-01-25,,,,,,,,,29.7233,4.7585,19.2982,-3.6684,11.4811
2001-01-26,,,,,,,,,28.6296,-3.6799,20.5287,6.3763,8.3018
2001-01-27,,,,,,,,,31.6546,10.566,21.1098,2.8305,0.0
2001-01-28,,,,,,,,,32.116,1.4577,20.4604,-3.0765,31.1747
2001-01-29,,,,,,,,,31.1419,-3.0332,19.4691,-4.8447,25.1183
2001-01-30,,,,,,,,,31.1077,-0.1098,21.1953,8.866,0.0
2001-01-31,,,,,,,,,30.3044,-2.5822,21.1269,-0.3225,10.9317
2001-02-01,,,,,,,,,29.9113,-1.2971,19.9135,-5.7435,13.2389
2001-02-02,,,,,,,,,31.3298,4.7423,21.6738,8.8398,2.9183
2001-02-03,,,,,,,,,30.8,-1.691,22.6138,4.3369,1.4626
2001-02-04,,,,,,,,,32.116,4.2726,22.1352,-2.1161,9.0983
2001-02-05,,,,,,,,,30.7488,-4.2572,20.204,-8.7246,7.4984
2001-02-06,,,,,,,,,28.8005,-6.3362,20.0844,-0.5921,44.0291
2001-02-07,,,,,,,,,27.9801,-2.8483,20.768,3.4037,21.5201
2001-02-08,,,,,,,,,30.2873,8.2458,21.4516,3.2917,0.0618
2001-02-09,,,,,,,,,25.7584,-14.9533,21.1269,-1.5137,0.0
2001-02-10,,,,,,,,,26.6813,3.5828,20.2895,-3.9638,4.9371
2001-02-11,,,,,,,,,31.1248,16.654,20.1527,-0.6739,10.4923
2001-02-12,,,,,,,,,30.988,-0.4393,20.6313,2.3745,11.1721
2001-02-13,,,,,,,,,26.8351,-13.4018,20.2382,-1.9053,17.2216
2001-02-14,,,,,,,,,28.5612,6.4324,19.4179,-4.0534,0.4189
2001-02-15,,,,,,,,,29.3645,2.8124,20.0844,3.4325,1.4626
2001-02-16,,,,,,,,,31.0735,5.8201,19.9306,-0.7658,9.4142
2001-02-17,,,,,,,,,29.7233,-4.345,20.1357,1.029,9.9292
2001-02-18,,,,,,,,,31.4324,5.7498,19.64,-2.4614,4.6007
2001-02-19,,,,,,,,,32.8765,4.5944,20.956,6.7004,0.206
2001-02-20,,,,,,,,,27.9118,-15.1012,21.9131,4.567,3.2067
2001-02-21,,,,,,,,,30.0822,7.7762,19.3837,-11.5428,0.5905
2001-02-22,,,,,,,,,29.3303,-2.4997,20.1357,3.8794,0.0
2001-02-23,,,,,,,,,31.3128,6.7592,15.1794,-24.6141,0.2197
2001-02-24,,,,,,,,,31.3982,0.2729,15.1538,-0.1689,22.454
2001-02-25,,,,,,,,,31.1077,-0.9253,18.6659,23.1761,28.6752
2001-02-26,,,,,,,,,30.8,-0.9889,19.6229,5.1273,11.1583
2001-02-27,,,,,,,,,29.279,-4.9384,18.6317,-5.0514,1.5725
2001-02-28,,,,,,,,,28.6125,-2.2765,18.8026,0.9173,0.0
2001-03-01,,,,,,,,,29.1252,1.7919,18.6146,-0.9998,0.0206
2001-03-02,,,,,,,,,30.1335,3.4621,16.3245,-12.3027,0.0
2001-03-03,,,,,,,,,30.0139,-0.397,16.0425,-1.7274,19.9957
2001-03-04,,,,,,,,,30.7659,2.5054,17.3243,7.9899,2.3553
2001-03-05,,,,,,,,,30.4753,-0.9443,19.1273,10.4075,0.0
2001-03-06,,,,,,,,,29.9626,-1.6824,17.8285,-6.7906,7.7799
2001-03-07,,,,,,,,,30.3728,1.3689,21.8276,22.4313,0.0
2001-03-08,,,,,,,,,29.4157,-3.151,20.1186,-7.8297,13.5754
2001-03-09,,,,,,,,,26.6471,-9.4121,19.828,-1.4441,20.5725
2001-03-10,,,,,,,,,27.0743,1.6034,20.3749,2.7582,4.7311
2001-03-11,,,,,,,,,29.1594,7.7011,19.1444,-6.0393,0.3433
2001-03-12,,,,,,,,,29.0397,-0.4103,19.1444,0.0,0.0206
2001-03-13,,,,,,,,,31.9109,9.8871,19.8451,3.6601,0.0
2001-03-14,,,,,,,,,31.8255,-0.2678,20.4262,2.928,0.0206
2001-03-15,,,,,,,,,31.9109,0.2685,20.6313,1.004,0.0206
2001-03-16,,,,,,,,,32.3724,1.446,20.5458,-0.4142,15.9581
2001-03-17,,,,,,,,,31.7913,-1.795,21.9301,6.7377,0.1373
2001-03-18,,,,,,,,,28.5099,-10.3215,20.204,-7.871,28.2083
2001-03-19,,,,,,,,,27.3649,-4.0163,19.9818,-1.0997,0.0
2001-03-20,,,,,,,,,30.4411,11.2417,19.3666,-3.0791,0.0893
2001-03-21,,,,,,,,,31.4324,3.2563,18.6488,-3.7064,24.5964
2001-03-22,,,,,,,,,32.4407,3.2079,18.683,0.1833,12.9986
2001-03-23,,,,,,,,,31.8767,-1.7385,20.7509,11.0685,6.8667
2001-03-24,,,,,,,,,31.3469,-1.662,20.9218,0.8236,3.0969
2001-03-25,,,,,,,,,30.9709,-1.1994,19.5546,-6.5349,13.6715
2001-03-26,,,,,,,,,31.2273,0.8277,19.3495,-1.0488,11.8656
2001-03-27,,,,,,,,,29.7917,-4.5972,18.495,-4.4162,12.1609
2001-03-28,,,,,,,,,27.5358,-7.5723,19.0077,2.7722,11.1721
2001-03-29,,,,,,,,,26.9376,-2.1723,17.5379,-7.7325,21.1493
2001-03-30,,,,,,,,,26.7667,-0.6344,17.2816,-1.4617,5.1019
2001-03-31,,,,,,,,,28.8347,7.7258,17.9652,3.9557,0.0
2001-04-01,,,,,,,,,29.7233,3.0821,17.7943,-0.9513,2.7741
2001-04-02,,,,,,,,,23.6221,-20.5268,17.8626,0.3842,26.6976
2001-04-03,,,,,,,,,26.6471,12.8058,18.2728,2.2962,1.2223
2001-04-04,,,,,,,,,27.1769,1.9882,16.7176,-8.5111,0.0
