Date,Actual,Predicted
2026-01-09,357.65,371.7291234733693
2026-01-12,356.05,349.06360486699833
2026-01-13,360.25,347.53881898420036
2026-01-14,356.0,361.3964701620746
2026-01-15,358.1,356.2004245004402
2026-01-16,355.3,356.85492505235925
2026-01-19,355.3,355.08155835360924
2026-01-20,346.5,353.82480401456473
2026-01-21,347.5,342.3375215505827
2026-01-22,347.7,343.33255016511407
2026-01-23,350.9,348.3216068856753
2026-01-26,356.25,352.5189333796916
2026-01-27,367.25,360.46706091141084
2026-01-28,351.0,375.2732846592647
2026-01-29,345.5,349.13135659508913
2026-01-30,332.25,334.33359801481146
2026-02-02,333.25,323.0862182165567
2026-02-03,317.1,326.7292772419496
2026-02-04,308.65,310.01665273522235
2026-02-05,308.4,296.1304364822091
2026-02-06,296.55,303.8212360991005
2026-02-09,293.85,290.82813004301454
2026-02-10,290.7,286.31408234591106
2026-02-11,292.85,287.7877143517651
2026-02-12,297.45,292.20017452487855
2026-02-13,298.3,300.7561851289631
2026-02-16,298.3,301.1304758820915
2026-02-17,283.1,298.7488491011121
2026-02-18,285.15,275.9251611348449
2026-02-19,285.4,278.07676731543626
2026-02-20,285.7,286.6005135108804
2026-02-23,278.05,285.9735973729895
2026-02-24,285.5,274.59803813907286
2026-02-25,284.85,284.9678764083364
2026-02-26,282.3,288.4818948034526
2026-02-27,280.75,280.7537789586912
2026-03-02,284.6,278.67169533139725
2026-03-03,283.15,285.5973620972408
2026-03-04,286.25,284.5002647746517
2026-03-05,288.8,286.94572596573244
2026-03-06,293.3,291.6405964971433
2026-03-09,296.9,296.76969180916103
2026-03-10,295.8,300.97552537714853
2026-03-11,287.4,297.18315749727947
2026-03-12,291.9,282.8546469113217
2026-03-13,285.15,289.58285326061235
2026-03-16,297.75,284.34934334565776
2026-03-17,302.05,300.0982936665747
2026-03-18,299.7,310.7453536842043
2026-03-19,306.2,300.86765335216006
2026-03-20,309.75,308.01659174642236
2026-03-23,307.0,314.8608449415778
2026-03-24,317.85,307.5823900489011
2026-03-25,316.1,321.5006112204018
2026-03-26,307.65,321.0259668089459
2026-03-27,301.7,302.74267255587273
2026-03-30,292.55,294.42821929798123
2026-03-31,298.35,285.0919756903007
2026-04-01,297.8,296.2412324727358
2026-04-02,295.4,300.6082945240683
