model,target,horizon_weeks,n_obs,rmse,mae,r2,direction_accuracy
xgboost,cumulative_log_return,1,60,0.04845172857026534,0.0411513204075637,0.03226181964187036,0.5166666666666667
zero_return_baseline,cumulative_log_return,1,60,0.04997345992697563,0.042658854479486474,-0.029480589230367338,0.0
xgboost,price,1,60,9.318244689283272,7.842627162734656,0.12418562466185579,0.48333333333333334
zero_return_baseline,price,1,60,9.597634257114244,8.123333333333319,0.07087907657715375,0.48333333333333334
xgboost,cumulative_log_return,4,60,0.10933515838606994,0.08131594947831555,-0.09819689827632527,0.6833333333333333
zero_return_baseline,cumulative_log_return,4,60,0.11923037249840157,0.08922735128877818,-0.3059734184641707,0.0
xgboost,price,4,60,22.562493669223073,16.389260419805808,-0.3396583011413947,0.5833333333333334
zero_return_baseline,price,4,60,24.39563741737438,17.830833333333302,-0.5661890551822806,0.5833333333333334
xgboost,cumulative_log_return,12,60,0.11241488798728425,0.09942807937691425,-0.2133924681349597,0.75
zero_return_baseline,cumulative_log_return,12,60,0.14230672239249373,0.12154172675106986,-0.9444843981833393,0.0
xgboost,price,12,60,23.102984719162716,20.269825758834603,-0.5261691252997223,0.5166666666666667
zero_return_baseline,price,12,60,28.947259513351664,24.501666666666594,-1.3959700827659778,0.5166666666666667
xgboost,cumulative_log_return,26,60,0.1630024531755858,0.1506985968923526,-3.06264302307373,1.0
zero_return_baseline,cumulative_log_return,26,60,0.2653606787028868,0.25273753510300884,-9.766970442355417,0.0
xgboost,price,26,60,36.837639827584724,34.0346148185927,-5.035494191516429,0.4666666666666667
zero_return_baseline,price,26,60,57.17562636298774,54.30499999999984,-13.539554632690415,0.4666666666666667
xgboost,cumulative_log_return,52,60,0.3922289342320114,0.38421746742531393,-16.755494586744522,1.0
zero_return_baseline,cumulative_log_return,52,60,0.6073266838045284,0.6001509322653683,-41.56947011962517,0.0
xgboost,price,52,60,114.04272235902243,110.64041083802728,-9.938442907551874,0.48333333333333334
zero_return_baseline,price,52,60,159.5634343555351,156.3199999999995,-20.413472641940814,0.48333333333333334
