,Forecast,Lower_95,Upper_95
2026-04-03,289.9972965814579,279.86845667245643,300.1261364904593
2026-04-06,282.9611813771573,269.7724586994676,296.14990405484696
2026-04-07,291.15612336108785,275.65597823472956,306.65626848744614
2026-04-08,292.9616071327441,275.7886798023974,310.13453446309086
2026-04-09,292.78485623054684,274.4937640305386,311.07594843055506
2026-04-10,289.69625721682263,266.23804475625116,313.1544696773941
2026-04-13,284.66625587932896,258.49044079008456,310.84207096857335
2026-04-14,294.51662980585445,266.55251478741536,322.48074482429354
2026-04-15,297.5712686020761,268.5653763824806,326.57716082167155
2026-04-16,298.2148934200049,268.7143029287207,327.7154839112891
2026-04-17,295.52673540920796,263.3894971812754,327.66397363714054
2026-04-20,290.5041345746867,257.1568121702854,323.851456979088
2026-04-21,300.0186290513888,266.0218515104208,334.01540659235684
2026-04-22,302.45762493054957,268.19980734447734,336.7154425166218
2026-04-23,302.277995692561,267.96860675072475,336.5873846343972
2026-04-24,298.63437784348406,263.0492576446524,334.2194980423157
2026-04-27,292.59777697878894,256.51654359140423,328.67901036617366
2026-04-28,301.1075749324349,264.7862366081813,337.4289132566885
2026-04-29,302.60986295492586,266.2122573511564,339.00746855869534
2026-04-30,301.6087095252278,265.2056473360821,338.01177171437354
2026-05-01,297.293100614044,259.84034194811744,334.7458592799706
2026-05-04,290.75512659530136,252.84088256585747,328.6693706247452
2026-05-05,298.9424154681186,260.74915792008466,337.13567301615257
2026-05-06,300.29760188562113,261.9698840839206,338.6253196873217
2026-05-07,299.3112844850488,260.9416240704983,337.68094489959935
2026-05-08,295.15103808145744,255.45641795841664,334.84565820449825
2026-05-11,288.8818830209685,248.5111018795979,329.25266416233904
2026-05-12,297.42104870062735,256.5973223508104,338.24477505044433
2026-05-13,299.17967580790287,258.1005532028904,340.2587984129153
2026-05-14,298.61778903408583,257.4293209119535,339.8062571562182
2026-05-15,294.87501434915896,252.20035287024675,337.5496758280712
2026-05-18,288.99238087531415,245.55438324021304,332.43037851041527
2026-05-19,297.86801219827447,253.93801438209624,341.7980100144527
2026-05-20,299.89934769405755,255.7066943042542,344.0920010838609
