horizon_weeks,feature,importance
4,api_target_ret_4w,0.31503745913505554
4,api_target_ret_26w,0.1596316546201706
4,api_target_ret_13w,0.05773690342903137
4,api_rank1_price_lag_4,0.03900814801454544
4,api_open_interest_y,0.035251814872026443
4,api_price_lag_26,0.03276193141937256
4,coffee_cum_logret_30d,0.03105795569717884
4,coffee_sharpe_60d,0.026556503027677536
4,api_spec_net_lag_1,0.02361343801021576
4,api_tavg_anom_30d,0.020923176780343056
4,api_fx_vol_60d,0.018433257937431335
4,coffee_dir_consistency_60d,0.0184281375259161
4,api_tavg_anom_30d_lag_13,0.01800532452762127
4,api_rain_anom_30d,0.01743745431303978
4,coffee_zscore_252d,0.017066488042473793
4,coffee_vs_sma_120d,0.014306564815342426
4,coffee_vs_sma_60d,0.013990592211484909
4,coffee_vs_sma_20d,0.013916824012994766
4,heat_stress_90d,0.012428815476596355
4,coffee_c_log_return_roll_mean_5,0.011923116631805897
4,drought_roll_mean_30,0.011691336520016193
4,coffee_sharpe_252d,0.010318699292838573
4,api_spec_z_52w,0.01002587005496025
4,api_tmin_anom_30d,0.009682968258857727
4,coffee_c_log_return_roll_std_10,0.00926138274371624
4,api_price_spec_net_interaction,0.009077473543584347
4,api_target_ret_1w,0.008020495064556599
4,api_tavg_anom_30d_lag_1,0.007485903333872557
4,api_spec_net_pct_oi_lag_4,0.005904946010559797
4,coffee_minus_fx_log_return,0.005320049822330475
4,coffee_minus_soybeans_log_return,0.004633015487343073
4,heat_stress_30d,0.004060549195855856
4,tavg_lag_1,0.003597918665036559
4,day_of_week,0.0034037770237773657
4,api_fcst_rain_1_14d_z26,0.0
4,api_fcst_heat_flag_1_7d_z26,0.0
12,api_target_ret_13w,0.548590362071991
12,api_target_ret_26w,0.12586276233196259
12,coffee_dist_52w_high,0.0565333291888237
12,api_price_lag_26,0.05395473912358284
12,coffee_dir_consistency_120d,0.04298289865255356
12,api_tavg_anom_30d_lag_13,0.041134949773550034
12,api_noncommercial_spreading,0.03996039181947708
12,api_target_ret_4w,0.026783989742398262
12,coffee_dir_consistency_252d,0.02573438547551632
12,api_comm_net_pct_oi_lag_4,0.021682629361748695
12,sugar_trend_120d,0.01677951216697693
12,api_fcst_tavg_1_7d_z26,0.0
26,api_target_ret_26w,0.31938207149505615
26,api_price,0.14198967814445496
26,api_target_ret_13w,0.08812418580055237
26,coffee_52w_low,0.07206269353628159
26,coffee_dist_52w_low,0.04469204694032669
26,api_price_lag_26,0.03600074350833893
26,api_price_brl_per_usd_interaction,0.03347019478678703
26,coffee_sma_60d,0.02829132229089737
26,api_open_interest_y,0.024432072415947914
26,coffee_zscore_504d,0.02271069958806038
26,usd_brl_sma_120d,0.02021697349846363
26,coffee_52w_high,0.018649552017450333
26,quarter,0.017732631415128708
26,api_tmin_anom_30d,0.017220275476574898
26,coffee_std_252d,0.015662016347050667
26,heat_stress_90d,0.014414602890610695
26,api_price_lag_13,0.013785737566649914
26,rainfall_rolling_90,0.010109283961355686
26,coffee_dist_52w_high,0.010106237605214119
26,api_tmin_anom_30d_lag_4,0.009977767243981361
26,coffee_cum_logret_252d,0.009540808387100697
26,api_spec_net_z52,0.009000357240438461
26,coffee_dir_consistency_252d,0.005663497373461723
26,soybeans_trend_252d,0.004879029933363199
26,drought_roll_mean_90,0.0041351281106472015
26,harvest_trend_120_interaction,0.0038834549486637115
26,api_nonreportable_long,0.0038669242057949305
52,enso_roll_mean_90,0.24867144227027893
52,api_target_ret_26w,0.14740554988384247
52,api_price_brl_per_usd_interaction,0.09325321018695831
52,enso_roll_mean_180,0.06853974610567093
52,coffee_52w_high,0.04821174591779709
52,api_brl_per_usd_lag_4,0.04628441855311394
52,coffee_dist_52w_high,0.045949786901474
52,coffee_sma_60d,0.03876329958438873
52,api_target_ret_13w,0.038593683391809464
52,api_price,0.037178896367549896
52,api_open_interest_y,0.025518829002976418
52,api_noncommercial_long,0.025258412584662437
52,coffee_std_252d,0.022736631333827972
52,api_price_lag_13,0.016396068036556244
52,coffee_std_120d,0.015290802344679832
52,api_comm_z_26w,0.015109220519661903
52,coffee_abs_return_60d,0.012738478370010853
52,drought_roll_mean_90,0.011634600348770618
52,api_vol_20d,0.010089249350130558
52,rainfall_rolling_180,0.008101187646389008
52,coffee_sharpe_252d,0.008047699928283691
52,usd_brl_zscore_252d,0.007176492363214493
52,usd_brl_trend_252d,0.005486574489623308
52,api_rank1_price_spec_net_interaction,0.0035639514680951834
