horizon_weeks,fold,model,n_obs,rmse,mae,r2,dir_acc,corr,n_features_used
4,1,xgb,801,0.05697665423946473,0.04595219622253912,0.577795211825433,0.818976279650437,0.8743092100686074,29
4,1,ridge,801,0.31939268374121205,0.26721081836517213,-12.267197528330598,0.5280898876404494,0.16351937353390522,29
4,1,zero,801,0.08772696334182904,0.0707655665488268,-0.0009109974269760901,0.003745318352059925,,29
4,1,trailing,801,0.13498598957743463,0.10493620952879253,-1.3697725102143226,0.48813982521847693,-0.19204119476738973,29
4,2,xgb,801,0.06529987711712301,0.04038718364575852,0.5653944804735617,0.8277153558052435,0.7883329994205043,38
4,2,ridge,801,0.1047544292998405,0.07253411921546245,-0.11844671919890026,0.5580524344569289,0.023646965414614737,38
4,2,zero,801,0.0991720438671602,0.06901465550460868,-0.002418417184725463,0.0012484394506866417,,38
4,2,trailing,801,0.14493144435311375,0.1109286420853961,-1.1408968846016205,0.40823970037453183,-0.06659421869559559,38
4,3,xgb,801,0.033136032599746235,0.026636139360589867,0.7821267437104924,0.8039950062421972,0.8918558699079117,41
4,3,ridge,801,0.07547213091859017,0.05941226303124336,-0.13025420436076462,0.5131086142322098,0.23310554982192644,41
4,3,zero,801,0.07154291977306944,0.05569281928392381,-0.01563165276709011,0.0,,41
4,3,trailing,801,0.11321827167898008,0.08788416829874551,-1.543524636502692,0.4444444444444444,-0.2926622743627533,41
4,4,xgb,801,0.05275563982852226,0.04041072645954917,0.721505725864455,0.8826466916354557,0.8650650644692285,37
4,4,ridge,801,0.12646334735669046,0.10786400602170812,-0.60032366403419,0.5218476903870163,0.47312424443623824,37
4,4,zero,801,0.10055213367903958,0.0810670462378202,-0.011721693904273023,0.0,,37
4,4,trailing,801,0.1429296717192122,0.11782501957373055,-1.0441994812013689,0.45692883895131087,-0.019889158213006672,37
4,5,xgb,801,0.10081618615292212,0.07672992602981044,0.02018696973903933,0.5717852684144819,0.2383987310393394,35
4,5,ridge,801,0.11339032637364121,0.08943682694536932,-0.23946621396504675,0.5580524344569289,0.15410792012024493,35
