feature,importance
heat_stress_30d,0.03069807
drought_roll_mean_30,0.030084627
month_sin,0.02822393
enso_index_lag_1,0.020624995
week_sin,0.019070933
coffee_trend_120d,0.017520512
rainfall_regime_ratio_90_180,0.017294148
coffee_trend_60d,0.016822295
coffee_c_log_return_roll_mean_20,0.016284619
rainfall_rolling_30,0.016115084
enso_index_lag_10,0.014687442
enso_index_lag_5,0.01440598
rainfall_rolling_90,0.014270754
harvest_trend_60_interaction,0.014145885
enso_index_lag_20,0.013701638
coffee_vol_60d,0.013566068
coffee_abs_return_60d,0.013327463
coffee_drawdown_120d,0.013285227
rainfall_rolling_180,0.012410695
enso_roll_mean_30,0.012130898
rainfall_roll_mean_7_lag_1,0.012110571
rainfall_roll_mean_30_lag_1,0.012096648
enso_roll_mean_90,0.012054577
flowering_rainfall_90_interaction,0.012050319
heat_stress_90d,0.011887849
rainfall_roll_mean_7_lag_3,0.01173133
week_cos,0.011724594
drought_index_lag_10,0.011694709
enso_roll_mean_180,0.011536862
month_cos,0.011509424
tavg_lag_5,0.011127708
coffee_vol_20d,0.01092769
coffee_c_log_return_roll_std_10,0.01090424
rainfall_roll_mean_30_lag_10,0.01083239
coffee_vol_regime_ratio_20_60,0.010665877
usd_brl_trend_120d,0.010658029
rainfall_roll_mean_7_lag_10,0.010564177
rainfall_roll_mean_7_lag_5,0.010406594
drought_index_lag_1,0.010062125
rainfall_roll_mean_30_lag_3,0.009962702
usd_brl_trend_20d,0.009869457
tavg_lag_10,0.00977124
rainfall_regime_ratio_30_90,0.009526669
usd_brl_trend_60d,0.009414817
rainfall_roll_mean_30_lag_5,0.009137607
drought_flag_lag_1,0.009017429
drought_index_lag_5,0.00901402
tmin_lag_10,0.0088465335
coffee_c_log_return_roll_mean_10,0.00869669
coffee_abs_return_5d,0.008495911
coffee_drawdown_60d,0.008289707
drought_roll_mean_90,0.008226957
tmin_change_pct_lag_3,0.008016736
tmin_lag_3,0.008007301
tmin_lag_1,0.007892663
coffee_c_log_return_roll_mean_5,0.007853272
tmin_lag_5,0.0077916244
tmax_lag_10,0.0077216825
coffee_abs_return_20d,0.0077185896
coffee_c_log_return_roll_std_20,0.007680482
trange_lag_5,0.0075705843
coffee_c_log_return_roll_std_5,0.0074660974
drought_index_lag_20,0.0073657357
sugar_log_return_lag_10,0.006969312
rainfall_lag_3,0.0068485523
