feature,importance
soybeans_trend_252d,0.16326731
enso_el_nino_180d,0.093181424
usd_brl_sma_60d,0.069260746
coffee_sma_252d,0.04073135
quarter,0.036197834
coffee_vol_252d,0.033537805
coffee_52w_low,0.031060833
coffee_sma_20d,0.028672932
enso_mean_180d,0.027683543
sugar_vol_120d,0.024436085
usd_brl_sma_252d,0.024386914
usd_brl_sma_120d,0.020974735
enso_mean_365d,0.020382138
enso_mean_90d,0.018450256
coffee_sharpe_252d,0.018276108
enso_zscore_365d,0.015970685
coffee_vol_120d,0.015247665
coffee_std_252d,0.014339714
frost_season,0.013959708
rainfall_cum_180d,0.013481652
coffee_sma_60d,0.013235953
month,0.01186001
month_cos,0.011844021
enso_trend_90d,0.011626417
coffee_sma_120d,0.011193973
sugar_trend_120d,0.010020253
sugar_vol_60d,0.009791758
coffee_zscore_504d,0.009618272
coffee_52w_high,0.009604746
month_sin,0.009016594
coffee_zscore_252d,0.008655374
coffee_dir_consistency_252d,0.008485142
drought_during_harvest,0.008370927
drought_mean_180d,0.0075738267
coffee_dist_52w_high,0.0069875927
coffee_vs_sma_252d,0.0066710436
sugar_zscore_252d,0.0066357884
coffee_dist_52w_low,0.0054433146
coffee_cum_logret_180d,0.005046361
coffee_std_120d,0.005020709
uptrend_during_harvest,0.0048371474
soybeans_trend_120d,0.0045875884
enso_phase_flip,0.004321273
coffee_sharpe_60d,0.0040766145
soybeans_vol_60d,0.004052184
soybeans_vol_120d,0.003882748
coffee_cum_logret_30d,0.0037816637
coffee_cum_logret_252d,0.0035088114
rainfall_cum_90d,0.0033418988
coffee_vs_sma_60d,0.0032978088
coffee_momentum_acceleration,0.0030778984
sugar_trend_252d,0.0028573098
coffee_sharpe_120d,0.002736005
nh_demand_peak,0.002694032
usd_brl_cum_logret_252d,0.002624353
usd_brl_trend_60d,0.0022897709
soybeans_trend_60d,0.0022206162
sugar_trend_60d,0.0022158474
coffee_vs_sma_120d,0.0021258558
week_sin,0.0020217432
coffee_vol_regime_60_252,0.001907584
tmax_anomaly_30d,0.0018908784
drought_mean_90d,0.0018792114
usd_brl_cum_logret_180d,0.001846904
soybeans_zscore_252d,0.0018457114
coffee_dir_consistency_120d,0.0018236028
week_cos,0.0017957963
brl_strengthening_regime,0.001729039
usd_brl_zscore_252d,0.0016115722
coffee_vs_sma_20d,0.0014780643
coffee_std_20d,0.0014558414
coffee_std_60d,0.0013761593
rainfall_deficit_90_180,0.0013661532
rainfall_cum_30d,0.0013201578
usd_brl_trend_120d,0.0012500302
coffee_vol_60d,0.001249641
coffee_dir_consistency_60d,0.0012195393
tmin_anomaly_30d,0.0011799772
coffee_cum_logret_90d,0.0011567435
usd_brl_cum_logret_30d,0.0011476153
heat_stress_frac_90d,0.0010829095
usd_brl_trend_252d,0.0009956507
heat_stress_frac_30d,0.00073751685
usd_brl_cum_logret_90d,0.00065417774
enso_la_nina_90d,0.0005047475
drought_regime,0.00030649037
brazil_flowering,0.0002601377
la_nina_during_flowering,0.0001754325
brl_weak_and_low_supply,0.0
brl_weakening_regime,0.0
brazil_off_season,0.0
brazil_harvest,0.0
frost_severity_cum_30d,0.0
coffee_macro_downtrend,0.0
coffee_macro_uptrend,0.0
frost_severity_cum_90d,0.0
enso_el_nino_90d,0.0
inventory_high_supply_130d,0.0
enso_la_nina_180d,0.0
frost_streak_90d,0.0
inventory_low_supply_130d,0.0
