model,horizon_weeks,n_obs,rmse,mae,r2
xgboost,1,498,0.05527076618930625,0.04473710442039313,-0.026765705396758266
zero_return_baseline,1,498,0.05471647953435832,0.04415242664723527,-0.006274989409903897
xgboost,2,498,0.0796741806765317,0.06281276166497234,0.015279513026611014
zero_return_baseline,2,498,0.08069599345704337,0.06478934648180151,-0.010140319932232078
xgboost,3,498,0.09718793212997721,0.07780608786781872,0.0721517611645619
zero_return_baseline,3,498,0.10124268549850787,0.08048804176939328,-0.006884318755469243
xgboost,4,498,0.11812709011632984,0.09757096259332186,-0.07494368337262891
zero_return_baseline,4,498,0.11423111727216703,0.08948733562989498,-0.00520710440409089
xgboost,5,498,0.1327893643597745,0.10682763599262869,-0.13053498157830123
zero_return_baseline,5,498,0.12519986688560747,0.09749326428988013,-0.004997902306323132
xgboost,6,498,0.14067580248795397,0.11190608881746546,-0.08972637403624684
zero_return_baseline,6,498,0.13523025779570766,0.10619665603897548,-0.006992906668221721
xgboost,7,498,0.14411465832335552,0.11622594039751,-0.06675450227322566
zero_return_baseline,7,498,0.14002231573397694,0.11244853233549064,-0.007030637131131057
xgboost,8,498,0.15221942007296202,0.12408902465510449,-0.07603774036307587
zero_return_baseline,8,498,0.14747431927726978,0.11807760070772919,-0.009997219411557623
xgboost,9,498,0.1555132948292549,0.12721285993258347,0.0054991740019310065
zero_return_baseline,9,498,0.15696171976637366,0.12452573642404877,-0.01311232669725415
xgboost,10,498,0.15948540805872644,0.1307826145555633,0.07143604863475461
zero_return_baseline,10,498,0.1670566859402865,0.13460230044227278,-0.01882040622247927
xgboost,11,497,0.174257352887041,0.13951916660079705,0.008497485390132065
zero_return_baseline,11,497,0.17696836578258,0.14321933548651195,-0.022593142168892966
xgboost,12,496,0.19476091161609616,0.15531794750589445,-0.09108673183309235
zero_return_baseline,12,496,0.18883854712417916,0.1531353970658097,-0.025739259214977883
xgboost,13,495,0.20528630439605772,0.16556710341921754,-0.07073985732197019
zero_return_baseline,13,495,0.2014283574228128,0.16574041782847604,-0.030873174683496263
xgboost,14,495,0.20930973577405387,0.16958178907056395,-0.03715023498688397
zero_return_baseline,14,495,0.2088644039134837,0.17557939650814125,-0.03274160398395898
xgboost,15,495,0.20714037466932606,0.1704138138657014,-0.00011760329317533902
zero_return_baseline,15,495,0.210672057152798,0.1807852823386686,-0.034511752104662285
xgboost,16,495,0.19935847303024437,0.15871651030402,0.07420727517458392
zero_return_baseline,16,495,0.21102137047633912,0.18323315810202176,-0.037282963421759074
xgboost,17,495,0.2022500173854865,0.15689365025142615,0.057054532696497406
zero_return_baseline,17,495,0.2130246709691814,0.18635985016409254,-0.046090476520679324
xgboost,18,495,0.22019441244858762,0.17497532068876018,-0.11629679173732077
zero_return_baseline,18,495,0.2141053463268718,0.18689623957495333,-0.055412204488842765
xgboost,19,495,0.22476751895817376,0.17543846705686345,-0.16927091004814354
zero_return_baseline,19,495,0.21441648066551544,0.18704402058397568,-0.06405571458489923
xgboost,20,494,0.22820929566506348,0.17966631167038427,-0.20623965673898548
zero_return_baseline,20,494,0.21578213152230669,0.18782640305224338,-0.07844474554428404
xgboost,21,493,0.22691692449740805,0.18019599305543887,-0.1745315887114145
zero_return_baseline,21,493,0.21888314729997735,0.1910418015346321,-0.09283746075455412
xgboost,22,493,0.22731687003885853,0.1836700005167556,-0.13272128926813642
zero_return_baseline,22,493,0.22356621941315769,0.1956256454749223,-0.09565063196906709
xgboost,23,493,0.22272438833521893,0.18003615214783975,-0.006735073870111741
zero_return_baseline,23,493,0.23166723245563334,0.20254972836435284,-0.08920310467616188
xgboost,24,493,0.23502849059549408,0.1891663722542885,-0.0447510537778526
zero_return_baseline,24,493,0.23965363624435096,0.20813748290268233,-0.08627514037082862
xgboost,25,493,0.25310113328208933,0.19332698901206644,-0.13182734401605867
zero_return_baseline,25,493,0.24707270061664244,0.21260989278097805,-0.07855308901716063
xgboost,26,493,0.2795816467506122,0.20610039223734788,-0.31092299805814605
zero_return_baseline,26,493,0.2526963646993665,0.21438196341678745,-0.07092203297048205
xgboost,27,493,0.2721680248976555,0.19627539622684936,-0.22167722057277484
zero_return_baseline,27,493,0.2546222593010068,0.2166788187927066,-0.06923953290026574
xgboost,28,492,0.26847131672998575,0.1978117337792318,-0.20498279064228853
zero_return_baseline,28,492,0.25298426226736537,0.2138687253720207,-0.06997115375779694
xgboost,29,491,0.2840169360324809,0.21614441721722435,-0.3677745126158587
zero_return_baseline,29,491,0.25194944145827397,0.21175795984700316,-0.07634830355958488
xgboost,30,490,0.2757190190206524,0.2070325512930829,-0.2770808950673076
zero_return_baseline,30,490,0.2541299044321376,0.21189331214521948,-0.0849169764181179
xgboost,31,489,0.2818853213275503,0.21183615106091103,-0.31581545426224866
zero_return_baseline,31,489,0.257420763094535,0.21507179498387521,-0.0973298847312325
xgboost,32,488,0.2844408186302356,0.22180603292913462,-0.28246500925949936
zero_return_baseline,32,488,0.2636643939882117,0.21877147515830508,-0.10195701922650224
xgboost,33,487,0.29046620725660866,0.23277303129203294,-0.23238212929848934
zero_return_baseline,33,487,0.27381534451506917,0.22906358337267899,-0.09514021825650198
xgboost,34,486,0.2816752458929268,0.2267165408726286,-0.07128317399454742
zero_return_baseline,34,486,0.28547633159656416,0.2403120605352182,-0.10039126511182261
xgboost,35,486,0.29377478891804487,0.24442682412417488,-0.08237346665497625
zero_return_baseline,35,486,0.29703231875484937,0.2518433422887175,-0.10651040634620546
xgboost,36,486,0.2862291343200424,0.23343681128727795,0.03959000362116538
zero_return_baseline,36,486,0.30815287445792705,0.2625881040694758,-0.11316987291957203
xgboost,37,485,0.2978970313223309,0.2501536649210379,0.015314743827551713
zero_return_baseline,37,485,0.3184092555285901,0.27312806092317643,-0.12495836990686371
xgboost,38,485,0.3379208232104377,0.28079505842462743,-0.22353376798943625
zero_return_baseline,38,485,0.3254024781144394,0.280405809054356,-0.13456077011388556
xgboost,39,485,0.33683725500437267,0.2821688643949086,-0.19757302012743905
zero_return_baseline,39,485,0.3298801414809865,0.28436905911647536,-0.14861400852192497
xgboost,40,485,0.347845803564684,0.2921578587798813,-0.2656572277779419
zero_return_baseline,40,485,0.33173605087533986,0.2861753356280096,-0.1511393702325794
xgboost,41,484,0.3496693339614671,0.2958575004325804,-0.2590330109848109
zero_return_baseline,41,484,0.33360429872484826,0.2889083982500529,-0.14600180306292487
xgboost,42,483,0.36230230377687717,0.3111778961107507,-0.3087129826456103
zero_return_baseline,42,483,0.3387725208977377,0.29395849848283484,-0.14424380864730169
xgboost,43,482,0.3603708573472293,0.31986499421967,-0.22068247603691882
zero_return_baseline,43,482,0.3488707315193173,0.30181071890244765,-0.14401694111940255
xgboost,44,481,0.36047854054155537,0.3247894987564447,-0.1784567954871059
zero_return_baseline,44,481,0.35568726813544327,0.30836217946818484,-0.1473382507352483
xgboost,45,480,0.37223555545237574,0.33537762517494263,-0.2104236515635216
zero_return_baseline,45,480,0.36324001098510794,0.31526645685095517,-0.15262770281540283
xgboost,46,480,0.39727663519061773,0.35598067797962135,-0.3359060187552474
zero_return_baseline,46,480,0.3710077354806797,0.32318390270334696,-0.16508011007612367
xgboost,47,480,0.3973253666305509,0.36038272778988173,-0.2925365360839627
zero_return_baseline,47,480,0.37908639501395086,0.3324400072307465,-0.1765940266870505
xgboost,48,480,0.3978302041083393,0.3604597212958028,-0.269000398512941
zero_return_baseline,48,480,0.38470421988187975,0.3391785864382305,-0.1866431966559865
xgboost,49,480,0.4061106965334296,0.37403688761498394,-0.29363044803185234
zero_return_baseline,49,480,0.38929806570254516,0.34545802747861537,-0.1887372275029302
xgboost,50,480,0.41751113531888057,0.3897006511162162,-0.3356490065077
zero_return_baseline,50,480,0.3944991959685008,0.35301783275787424,-0.19247275262162744
xgboost,51,480,0.41907273195700345,0.39558246306143025,-0.3412440744495673
zero_return_baseline,51,480,0.39601581008795267,0.35552689127471143,-0.19771657260864584
xgboost,52,480,0.42634613593703186,0.3996336582481736,-0.3928585942017524
zero_return_baseline,52,480,0.39610551465139543,0.3567547474226342,-0.20227590459316125
