feature,importance
coffee_c_log_return_roll_mean_20,0.049196832
coffee_c_log_return_roll_mean_10,0.048351955
coffee_c_log_return_roll_std_10,0.046535376
coffee_c_log_return_roll_mean_5,0.041730255
soybeans_log_return_lag_0,0.041285202
soybeans_log_return_lag_1,0.039393026
usd_brl_log_return_lag_3,0.039294828
soybeans_log_return_lag_2,0.03816109
coffee_c_log_return_roll_std_20,0.037833463
coffee_c_log_return_roll_std_5,0.03777156
coffee_c_log_return_lag_20,0.03766121
soybeans_log_return_lag_3,0.03699701
sugar_log_return_lag_2,0.036889
coffee_c_log_return_lag_5,0.036868155
sugar_log_return_lag_0,0.035904747
usd_brl_log_return_lag_0,0.035743646
sugar_log_return_lag_1,0.03486006
usd_brl_log_return_lag_5,0.034610547
usd_brl_log_return_lag_2,0.034600485
coffee_c_log_return_lag_10,0.03447398
usd_brl_log_return_lag_1,0.033575974
sugar_log_return_lag_5,0.033502858
soybeans_log_return_lag_5,0.032413613
coffee_c_log_return_lag_1,0.032392595
coffee_c_log_return_lag_3,0.031481087
sugar_log_return_lag_3,0.029342692
coffee_c_log_return_lag_2,0.029128714
